# 百货
# 格式: 股票代码.交易所  # 名称

000417.SZ  # 合百集团
000419.SZ  # 通程控股
000501.SZ  # 武商集团
000564.SZ  # 供销大集
000679.SZ  # 大连友谊
000715.SZ  # 中兴商业
000785.SZ  # 居然智家
002187.SZ  # 广百股份
002277.SZ  # 友阿股份
002419.SZ  # 天虹股份
002561.SZ  # 徐家汇
600280.SH  # 中央商场
600628.SH  # 新世界
600655.SH  # 豫园股份
600693.SH  # 东百集团
600694.SH  # 大商股份
600697.SH  # 欧亚集团
600712.SH  # 南宁百货
600729.SH  # 重庆百货
600738.SH  # 丽尚国潮
600778.SH  # 友好集团
600785.SH  # 新华百货
600814.SH  # 杭州解百
600824.SH  # 益民集团
600828.SH  # 茂业商业
600838.SH  # 上海九百
600857.SH  # 宁波中百
600858.SH  # 银座股份
600859.SH  # 王府井
600865.SH  # 百大集团
601010.SH  # 文峰股份
601086.SH  # 国芳集团
601366.SH  # 利群股份
603101.SH  # 汇嘉时代
603214.SH  # 爱婴室
