# 半导体
# 格式: 股票代码.交易所  # 名称

001270.SZ  # *ST铖昌
001309.SZ  # 德明利
002049.SZ  # 紫光国微
002077.SZ  # 大港股份
002119.SZ  # 康强电子
002156.SZ  # 通富微电
002185.SZ  # 华天科技
002213.SZ  # 大为股份
002371.SZ  # 北方华创
002409.SZ  # 雅克科技
002449.SZ  # 国星光电
003026.SZ  # 中晶科技
003043.SZ  # 华亚智能
300046.SZ  # 台基股份
300053.SZ  # 航宇微
300077.SZ  # 国民技术
300102.SZ  # 乾照光电
300123.SZ  # 亚光科技
300223.SZ  # 北京君正
300236.SZ  # 上海新阳
300241.SZ  # 瑞丰光电
300301.SZ  # ST长方
300303.SZ  # 聚飞光电
300323.SZ  # 华灿光电
300327.SZ  # 中颖电子
300346.SZ  # 南大光电
300373.SZ  # 扬杰科技
300456.SZ  # 赛微电子
300458.SZ  # 全志科技
300604.SZ  # 长川科技
300613.SZ  # 富瀚微
300623.SZ  # 捷捷微电
300632.SZ  # 光莆股份
300655.SZ  # 晶瑞电材
300661.SZ  # 圣邦股份
300666.SZ  # 江丰电子
300671.SZ  # 富满微
300672.SZ  # 国科微
300708.SZ  # 聚灿光电
300782.SZ  # 卓胜微
300831.SZ  # 派瑞股份
301095.SZ  # 广立微
301269.SZ  # 华大九天
301297.SZ  # 富乐德
301308.SZ  # 江波龙
301348.SZ  # 蓝箭电子
301369.SZ  # 联动科技
301536.SZ  # 星宸科技
301581.SZ  # 黄山谷捷
301611.SZ  # 珂玛科技
301629.SZ  # 矽电股份
301678.SZ  # 新恒汇
600171.SH  # 上海贝岭
600206.SH  # 有研新材
600360.SH  # *ST华微
600460.SH  # 士兰微
600520.SH  # 三佳科技
600584.SH  # 长电科技
600641.SH  # 万业企业
600667.SH  # 太极实业
600703.SH  # 三安光电
600745.SH  # 闻泰科技
600877.SH  # 电科芯片
603005.SH  # 晶方科技
603061.SH  # 金海通
603068.SH  # 博通集成
603078.SH  # 江化微
603160.SH  # 汇顶科技
603290.SH  # 斯达半导
603375.SH  # 盛景微
603501.SH  # 豪威集团
603690.SH  # 至纯科技
603893.SH  # 瑞芯微
603986.SH  # 兆易创新
605111.SH  # 新洁能
605358.SH  # 立昂微
688008.SH  # 澜起科技
688012.SH  # 中微公司
688018.SH  # 乐鑫科技
688019.SH  # 安集科技
688035.SH  # 德邦科技
688037.SH  # 芯源微
688041.SH  # 海光信息
688045.SH  # 必易微
688047.SH  # 龙芯中科
688048.SH  # 长光华芯
688049.SH  # 炬芯科技
688052.SH  # 纳芯微
688061.SH  # 灿瑞科技
688072.SH  # 拓荆科技
688082.SH  # 盛美上海
688099.SH  # 晶晨股份
688107.SH  # 安路科技
688110.SH  # 东芯股份
688120.SH  # 华海清科
688123.SH  # 聚辰股份
688126.SH  # 沪硅产业
688130.SH  # 晶华微
688135.SH  # 利扬芯片
688138.SH  # 清溢光电
688141.SH  # 杰华特
688146.SH  # 中船特气
688153.SH  # 唯捷创芯
688172.SH  # 燕东微
688173.SH  # 希荻微
688200.SH  # 华峰测控
688206.SH  # 概伦电子
688209.SH  # 英集芯
688213.SH  # 思特威-W
688216.SH  # 气派科技
688220.SH  # 翱捷科技-U
688230.SH  # 芯导科技
688233.SH  # 神工股份
688234.SH  # 天岳先进
688249.SH  # 晶合集成
688252.SH  # 天德钰
688256.SH  # 寒武纪-U
688259.SH  # 创耀科技
688261.SH  # 东微半导
688262.SH  # 国芯科技
688270.SH  # 臻镭科技
688279.SH  # 峰岹科技
688286.SH  # 敏芯股份
688325.SH  # 赛微微电
688332.SH  # 中科蓝讯
688347.SH  # 华虹公司
688352.SH  # 颀中科技
688361.SH  # 中科飞测
688362.SH  # 甬矽电子
688368.SH  # 晶丰明源
688372.SH  # 伟测科技
688380.SH  # 中微半导
688381.SH  # 帝奥微
688385.SH  # 复旦微电
688391.SH  # 钜泉科技
688396.SH  # 华润微
688401.SH  # 路维光电
688403.SH  # 汇成股份
688409.SH  # 富创精密
688416.SH  # 恒烁股份
688419.SH  # 耐科装备
688432.SH  # 有研硅
688449.SH  # 联芸科技
688458.SH  # 美芯晟
688469.SH  # 芯联集成-U
688478.SH  # 晶升股份
688484.SH  # 南芯科技
688486.SH  # 龙迅股份
688498.SH  # 源杰科技
688508.SH  # 芯朋微
688512.SH  # 慧智微-U
688515.SH  # 裕太微-U
688521.SH  # 芯原股份
688525.SH  # 佰维存储
688530.SH  # 欧莱新材
688535.SH  # 华海诚科
688536.SH  # 思瑞浦
688538.SH  # 和辉光电-U
688584.SH  # 上海合晶
688589.SH  # 力合微
688591.SH  # 泰凌微
688593.SH  # 新相微
688595.SH  # 芯海科技
688601.SH  # 力芯微
688605.SH  # 先锋精科
688608.SH  # 恒玄科技
688620.SH  # 安凯微
688652.SH  # 京仪装备
688653.SH  # 康希通信
688689.SH  # 银河微电
688691.SH  # 灿芯股份
688693.SH  # 锴威特
688699.SH  # 明微电子
688702.SH  # 盛科通信-U
688709.SH  # 成都华微
688711.SH  # 宏微科技
688720.SH  # 艾森股份
688721.SH  # 龙图光罩
688728.SH  # 格科微
688729.SH  # 屹唐股份
688766.SH  # 普冉股份
688783.SH  # 西安奕材-U
688798.SH  # 艾为电子
688981.SH  # 中芯国际
