# 仓储物流
# 格式: 股票代码.交易所  # 名称

000906.SZ  # 浙商中拓
000927.SZ  # 中国铁物
001202.SZ  # 炬申股份
001228.SZ  # 永泰运
001391.SZ  # 国货航
002010.SZ  # 传化智联
002120.SZ  # 韵达股份
002183.SZ  # 怡亚通
002352.SZ  # 顺丰控股
002468.SZ  # 申通快递
002492.SZ  # 恒基达鑫
002682.SZ  # 龙洲股份
002769.SZ  # 普路通
002800.SZ  # 天顺股份
002889.SZ  # 东方嘉盛
002930.SZ  # 宏川智慧
300013.SZ  # 新宁物流
300240.SZ  # 飞力达
300350.SZ  # 华鹏飞
300873.SZ  # 海晨股份
600057.SH  # 厦门象屿
600119.SH  # 长江投资
600153.SH  # 建发股份
600180.SH  # 瑞茂通
600233.SH  # 圆通速递
600654.SH  # 中安科
600704.SH  # 物产中大
600755.SH  # 厦门国贸
600787.SH  # 中储股份
600794.SH  # 保税科技
601156.SH  # 东航物流
601598.SH  # 中国外运
603056.SH  # 德邦股份
603066.SH  # 音飞储存
603117.SH  # 万林物流
603128.SH  # 华贸物流
603329.SH  # 上海雅仕
603373.SH  # 安邦护卫
603535.SH  # 嘉诚国际
603648.SH  # 畅联股份
603713.SH  # 密尔克卫
603836.SH  # 海程邦达
603871.SH  # 嘉友国际
603967.SH  # 中创物流
605050.SH  # 福然德
