# 电气设备
# 格式: 股票代码.交易所  # 名称

000009.SZ  # 中国宝安
000049.SZ  # 德赛电池
000400.SZ  # 许继电气
000533.SZ  # 顺钠股份
000576.SZ  # 甘化科工
000682.SZ  # 东方电子
000720.SZ  # 新能泰山
000809.SZ  # 和展能源
000821.SZ  # 京山轻机
000922.SZ  # 佳电股份
001208.SZ  # 华菱线缆
001255.SZ  # 博菲电气
001283.SZ  # 豪鹏科技
001301.SZ  # 尚太科技
001326.SZ  # 联域股份
001382.SZ  # 新亚电缆
001388.SZ  # 信通电子
002028.SZ  # 思源电气
002056.SZ  # 横店东磁
002074.SZ  # 国轩高科
002079.SZ  # 苏州固锝
002090.SZ  # 金智科技
002112.SZ  # 三变科技
002129.SZ  # TCL中环
002130.SZ  # 沃尔核材
002168.SZ  # *ST惠程
002169.SZ  # 智光电气
002202.SZ  # 金风科技
002227.SZ  # 奥特迅
002245.SZ  # 蔚蓝锂芯
002249.SZ  # 大洋电机
002270.SZ  # 华明装备
002276.SZ  # 万马股份
002298.SZ  # 中电鑫龙
002300.SZ  # 太阳电缆
002309.SZ  # 中利集团
002334.SZ  # 英威腾
002335.SZ  # 科华数据
002339.SZ  # 积成电子
002346.SZ  # 柘中股份
002350.SZ  # 北京科锐
002358.SZ  # 森源电气
002364.SZ  # 中恒电气
002441.SZ  # 众业达
002451.SZ  # 摩恩电气
002452.SZ  # 长高电新
002459.SZ  # 晶澳科技
002471.SZ  # 中超控股
002487.SZ  # 大金重工
002498.SZ  # 汉缆股份
002506.SZ  # 协鑫集成
002518.SZ  # 科士达
002531.SZ  # 天顺风能
002533.SZ  # 金杯电工
002546.SZ  # 新联电子
002560.SZ  # 通达股份
002576.SZ  # 通达动力
002580.SZ  # 圣阳股份
002606.SZ  # 大连电瓷
002617.SZ  # 露笑科技
002660.SZ  # 茂硕电源
002692.SZ  # 远程股份
002706.SZ  # 良信股份
002733.SZ  # 雄韬股份
002759.SZ  # 天际股份
002801.SZ  # 微光股份
002805.SZ  # 丰元股份
002812.SZ  # 恩捷股份
002850.SZ  # 科达利
002851.SZ  # 麦格米特
