# 电器仪表
# 格式: 股票代码.交易所  # 名称

001266.SZ  # 宏英智能
002058.SZ  # *ST威尔
002121.SZ  # 科陆电子
002175.SZ  # 东方智造
002214.SZ  # *ST大立
002338.SZ  # 奥普光电
002414.SZ  # 高德红外
002527.SZ  # 新时达
002767.SZ  # 先锋电子
002819.SZ  # 东方中科
002849.SZ  # 威星智能
002857.SZ  # 三晖电气
002967.SZ  # 广电计量
002980.SZ  # 华盛昌
300007.SZ  # 汉威科技
300012.SZ  # 华测检测
300066.SZ  # 三川智慧
300099.SZ  # 尤洛卡
300112.SZ  # 万讯自控
300124.SZ  # 汇川技术
300165.SZ  # ST天瑞
300203.SZ  # 聚光科技
300259.SZ  # 新天科技
300286.SZ  # 安科瑞
300306.SZ  # 远方信息
300349.SZ  # 金卡智能
300354.SZ  # 东华测试
300360.SZ  # 炬华科技
300370.SZ  # 安控科技
300371.SZ  # 汇中股份
300416.SZ  # 苏试试验
300417.SZ  # 南华仪器
300430.SZ  # 诚益通
300445.SZ  # 康斯特
300466.SZ  # 赛摩智能
300514.SZ  # 友讯达
300515.SZ  # 三德科技
300516.SZ  # 久之洋
300553.SZ  # 集智股份
300557.SZ  # 理工光科
300567.SZ  # 精测电子
300572.SZ  # 安车检测
300667.SZ  # 必创科技
300720.SZ  # 海川智能
300797.SZ  # 钢研纳克
300862.SZ  # 蓝盾光电
300880.SZ  # 迦南智能
300882.SZ  # 万胜智能
300887.SZ  # 谱尼测试
300897.SZ  # 山科智能
300938.SZ  # 信测标准
301006.SZ  # 迈拓股份
301129.SZ  # 瑞纳智能
301228.SZ  # 实朴检测
301289.SZ  # 国缆检测
301303.SZ  # 真兰仪表
301413.SZ  # 安培龙
301508.SZ  # 中机认检
301510.SZ  # 固高科技
301528.SZ  # 多浦乐
302132.SZ  # 中航成飞
600651.SH  # 飞乐音响
603100.SH  # 川仪股份
603275.SH  # 众辰科技
603416.SH  # 信捷电气
603556.SH  # 海兴电力
603662.SH  # 柯力传感
603700.SH  # 宁水集团
605056.SH  # 咸亨国际
688056.SH  # 莱伯泰科
688112.SH  # 鼎阳科技
688115.SH  # 思林杰
688160.SH  # 步科股份
688283.SH  # 坤恒顺维
688320.SH  # 禾川科技
688337.SH  # 普源精电
688450.SH  # 光格科技
688528.SH  # 秦川物联
688539.SH  # 高华科技
688583.SH  # 思看科技
688597.SH  # 煜邦电力
688600.SH  # 皖仪科技
688610.SH  # 埃科光电
688616.SH  # 西力科技
688622.SH  # 禾信仪器
688628.SH  # 优利德
688665.SH  # 四方光电
688686.SH  # 奥普特
688757.SH  # 胜科纳米
688768.SH  # 容知日新
