# 纺织
# 格式: 股票代码.交易所  # 名称

000726.SZ  # 鲁泰A
000850.SZ  # 华茂股份
000955.SZ  # 欣龙控股
001390.SZ  # 古麒绒材
002042.SZ  # 华孚时尚
002083.SZ  # 孚日股份
002144.SZ  # 宏达高科
002193.SZ  # 如意集团
002293.SZ  # 罗莱生活
002327.SZ  # 富安娜
002394.SZ  # 联发股份
002397.SZ  # 梦洁股份
002404.SZ  # 嘉欣丝绸
002674.SZ  # 兴业科技
003041.SZ  # 真爱美家
300577.SZ  # 开润股份
300658.SZ  # 延江股份
300819.SZ  # 聚杰微纤
300877.SZ  # 金春股份
300918.SZ  # 南山智尚
300952.SZ  # 恒辉安防
301066.SZ  # 万事利
600156.SH  # 华升股份
600448.SH  # 华纺股份
600493.SH  # 凤竹纺织
600987.SH  # 航民股份
601339.SH  # 百隆东方
601599.SH  # 浙文影业
603055.SH  # 台华新材
603073.SH  # 彩蝶实业
603130.SH  # 云中马
603238.SH  # 诺邦股份
603365.SH  # 水星家纺
603558.SH  # 健盛集团
603889.SH  # 新澳股份
603908.SH  # 牧高笛
605003.SH  # 众望布艺
605055.SH  # 迎丰股份
605180.SH  # 华生科技
605189.SH  # 富春染织
