# 服饰
# 格式: 股票代码.交易所  # 名称

000017.SZ  # 深中华A
000026.SZ  # 飞亚达
001209.SZ  # 洪兴股份
001234.SZ  # 泰慕士
002003.SZ  # 伟星股份
002029.SZ  # 七匹狼
002098.SZ  # 浔兴股份
002154.SZ  # 报喜鸟
002269.SZ  # 美邦服饰
002345.SZ  # 潮宏基
002486.SZ  # 嘉麟杰
002494.SZ  # 华斯股份
002563.SZ  # 森马服饰
002569.SZ  # *ST步森
002574.SZ  # 明牌珠宝
002612.SZ  # 朗姿股份
002634.SZ  # 棒杰股份
002656.SZ  # *ST摩登
002687.SZ  # 乔治白
002721.SZ  # 金一文化
002731.SZ  # 萃华珠宝
002762.SZ  # *ST金比
002763.SZ  # 汇洁股份
002780.SZ  # 三夫户外
002832.SZ  # 比音勒芬
002867.SZ  # 周大生
002875.SZ  # 安奈儿
003016.SZ  # 欣贺股份
300005.SZ  # 探路者
300591.SZ  # 万里马
300840.SZ  # 酷特智能
300901.SZ  # 中胤时尚
300945.SZ  # 曼卡龙
300979.SZ  # 华利集团
301088.SZ  # 戎美股份
301177.SZ  # 迪阿股份
301276.SZ  # 嘉曼服饰
600107.SH  # ST尔雅
600137.SH  # 浪莎股份
600177.SH  # 雅戈尔
600398.SH  # 海澜之家
600400.SH  # 红豆股份
600439.SH  # 瑞贝卡
600612.SH  # 老凤祥
600630.SH  # 龙头股份
600735.SH  # ST新华锦
600916.SH  # 中国黄金
601566.SH  # 九牧王
601718.SH  # 际华集团
603001.SH  # 奥康国际
603116.SH  # 红蜻蜓
603196.SH  # 日播时尚
603511.SH  # 爱慕股份
603518.SH  # 锦泓集团
603557.SH  # ST起步
603587.SH  # 地素时尚
603608.SH  # 天创时尚
603665.SH  # 康隆达
603808.SH  # 歌力思
603839.SH  # 安正时尚
603877.SH  # 太平鸟
603900.SH  # 莱绅通灵
603958.SH  # 哈森股份
605138.SH  # 盛泰集团
605599.SH  # 菜百股份
