# 供气供热
# 格式: 股票代码.交易所  # 名称

000407.SZ  # 胜利股份
000421.SZ  # 南京公用
000593.SZ  # 德龙汇能
000669.SZ  # ST金鸿
000692.SZ  # 惠天热电
001210.SZ  # 金房能源
001299.SZ  # 美能能源
001331.SZ  # 胜通能源
001376.SZ  # 百通能源
002259.SZ  # 升达林业
002267.SZ  # 陕天然气
002700.SZ  # 万憬能源
002893.SZ  # 京能热力
002911.SZ  # 佛燃能源
300332.SZ  # 天壕能源
300335.SZ  # 迪森股份
300435.SZ  # 中泰股份
600052.SH  # 东望时代
600167.SH  # 联美控股
600226.SH  # 亨通股份
600333.SH  # 长春燃气
600617.SH  # 国新能源
600635.SH  # 大众公用
600681.SH  # 百川能源
600719.SH  # 大连热电
600803.SH  # 新奥股份
600903.SH  # 贵州燃气
600917.SH  # 重庆燃气
600956.SH  # 新天绿能
600982.SH  # 宁波能源
601139.SH  # 深圳燃气
603053.SH  # 成都燃气
603080.SH  # 新疆火炬
603318.SH  # 水发燃气
603393.SH  # 新天然气
603689.SH  # 皖天然气
603706.SH  # 东方环宇
605011.SH  # 杭州热电
605028.SH  # 世茂能源
605090.SH  # 九丰能源
605162.SH  # 新中港
605169.SH  # 洪通燃气
605368.SH  # 蓝天燃气
605580.SH  # 恒盛能源
