# 航空
# 格式: 股票代码.交易所  # 名称

000697.SZ  # *ST炼石
000738.SZ  # 航发控制
000768.SZ  # 中航西飞
002023.SZ  # 海特高新
002111.SZ  # 威海广泰
002297.SZ  # 博云新材
002389.SZ  # 航天彩虹
002625.SZ  # 光启技术
002651.SZ  # 利君股份
002829.SZ  # 星网宇达
002933.SZ  # 新兴装备
002935.SZ  # 天奥电子
002985.SZ  # 北摩高科
003009.SZ  # 中天火箭
300034.SZ  # 钢研高纳
300424.SZ  # 航新科技
300581.SZ  # 晨曦航空
300696.SZ  # 爱乐达
300719.SZ  # 安达维尔
300722.SZ  # 新余国科
300775.SZ  # 三角防务
300900.SZ  # 广联航空
300965.SZ  # 恒宇信通
301050.SZ  # 雷电微力
301306.SZ  # 西测测试
301586.SZ  # 佳力奇
600038.SH  # 中直股份
600118.SH  # 中国卫星
600316.SH  # 洪都航空
600372.SH  # 中航机载
600391.SH  # 航发科技
600760.SH  # 中航沈飞
600765.SH  # 中航重机
600862.SH  # 中航高科
600879.SH  # 航天电子
600893.SH  # 航发动力
603261.SH  # *ST立航
605123.SH  # 派克新材
688070.SH  # 纵横股份
688231.SH  # 隆达股份
688237.SH  # 超卓航科
688239.SH  # 航宇科技
688281.SH  # 华秦科技
688287.SH  # *ST观典
688297.SH  # 中无人机
688510.SH  # 航亚科技
688523.SH  # 航天环宇
688563.SH  # 航材股份
688586.SH  # 江航装备
688685.SH  # 迈信林
