# 化工原料
# 格式: 股票代码.交易所  # 名称

000510.SZ  # 新金路
000545.SZ  # 金浦钛业
000635.SZ  # 英力特
000683.SZ  # 博源化工
000691.SZ  # *ST亚太
000695.SZ  # 滨海能源
000707.SZ  # 双环科技
000818.SZ  # 航锦科技
000822.SZ  # 山东海化
000830.SZ  # 鲁西化工
000881.SZ  # 中广核技
000985.SZ  # 大庆华科
000990.SZ  # 诚志股份
001207.SZ  # 联科科技
001217.SZ  # 华尔泰
001218.SZ  # 丽臣实业
001333.SZ  # 光华股份
001335.SZ  # 信凯科技
001358.SZ  # 兴欣新材
002037.SZ  # 保利联合
002068.SZ  # 黑猫股份
002092.SZ  # 中泰化学
002096.SZ  # 易普力
002109.SZ  # 兴化股份
002125.SZ  # 湘潭电化
002136.SZ  # 安纳达
002145.SZ  # 钛能化学
002165.SZ  # 红宝丽
002226.SZ  # 江南化工
002246.SZ  # 北化股份
002250.SZ  # 联化科技
002312.SZ  # 川发龙蟒
002326.SZ  # 永太科技
002360.SZ  # 同德化工
002361.SZ  # 神剑股份
002386.SZ  # 天原股份
002407.SZ  # 多氟多
002408.SZ  # 齐翔腾达
002442.SZ  # 龙星科技
002453.SZ  # 华软科技
002455.SZ  # 百川股份
002469.SZ  # 三维化学
002476.SZ  # 宝莫股份
002584.SZ  # 西陇科学
002601.SZ  # 龙佰集团
002643.SZ  # 万润股份
002648.SZ  # 卫星化学
002666.SZ  # 德联集团
002669.SZ  # 康达新材
002683.SZ  # 广东宏大
002709.SZ  # 天赐材料
002741.SZ  # 光华科技
002748.SZ  # 世龙实业
002753.SZ  # 永东股份
002783.SZ  # 凯龙股份
002802.SZ  # 洪汇新材
002809.SZ  # 红墙股份
002810.SZ  # 山东赫达
002825.SZ  # 纳尔股份
002827.SZ  # 高争民爆
002895.SZ  # 川恒股份
002909.SZ  # 集泰股份
002915.SZ  # 中欣氟材
002917.SZ  # 金奥博
002971.SZ  # 和远气体
002986.SZ  # 宇新股份
003002.SZ  # 壶化股份
003017.SZ  # 大洋生物
003022.SZ  # 联泓新科
300019.SZ  # 硅宝科技
300037.SZ  # 新宙邦
300041.SZ  # 回天新材
300054.SZ  # 鼎龙股份
300072.SZ  # 海新能科
300082.SZ  # 奥克股份
300107.SZ  # 建新股份
300109.SZ  # 新开源
300121.SZ  # 阳谷华泰
300132.SZ  # 青松股份
300174.SZ  # 元力股份
300200.SZ  # 高盟新材
300214.SZ  # 日科化学
300243.SZ  # 瑞丰高材
300343.SZ  # ST联创
300398.SZ  # 飞凯材料
300405.SZ  # 科隆股份
300429.SZ  # 强力新材
300437.SZ  # 清水源
300481.SZ  # 濮阳惠成
300487.SZ  # 蓝晓科技
300535.SZ  # 达威股份
300568.SZ  # 星源材质
300586.SZ  # 美联新材
300596.SZ  # 利安隆
300610.SZ  # 晨化股份
300637.SZ  # 扬帆新材
300641.SZ  # 正丹股份
300647.SZ  # 超频三
300721.SZ  # 怡达股份
300727.SZ  # 润禾材料
300769.SZ  # 德方纳米
300801.SZ  # 泰和科技
300821.SZ  # 东岳硅材
300834.SZ  # 星辉环材
300847.SZ  # 中船汉光
300848.SZ  # 美瑞新材
300886.SZ  # 华业香料
300891.SZ  # 惠云钛业
300910.SZ  # 瑞丰新材
300927.SZ  # 江天化学
301059.SZ  # 金三江
301069.SZ  # 凯盛新材
301076.SZ  # 新瀚新材
301077.SZ  # 星华新材
301090.SZ  # 华润材料
301092.SZ  # 争光股份
301100.SZ  # 风光股份
301118.SZ  # 恒光股份
301149.SZ  # 隆华新材
301212.SZ  # 联盛化学
301216.SZ  # 万凯新材
301220.SZ  # 亚香股份
301238.SZ  # 瑞泰新材
301256.SZ  # 华融化学
301286.SZ  # 侨源股份
301292.SZ  # 海科新源
301300.SZ  # 远翔新材
301349.SZ  # 信德新材
301373.SZ  # 凌玮科技
301393.SZ  # 昊帆生物
301395.SZ  # 仁信新材
301487.SZ  # 盟固利
301518.SZ  # 长华化学
301555.SZ  # 惠柏新材
301617.SZ  # 博苑股份
301630.SZ  # 同宇新材
600075.SH  # 新疆天业
600078.SH  # 澄星股份
600160.SH  # 巨化股份
