# 化纤
# 格式: 股票代码.交易所  # 名称

000301.SZ  # 东方盛虹
000420.SZ  # 吉林化纤
000677.SZ  # 恒天海龙
000703.SZ  # 恒逸石化
000782.SZ  # 恒申新材
000936.SZ  # 华西股份
000949.SZ  # 新乡化纤
002064.SZ  # 华峰化学
002206.SZ  # 海利得
002254.SZ  # 泰和新材
002427.SZ  # 尤夫股份
002493.SZ  # 荣盛石化
002998.SZ  # 优彩资源
300180.SZ  # 华峰超纤
300699.SZ  # 光威复材
300777.SZ  # 中简科技
300876.SZ  # 蒙泰高新
301057.SZ  # 汇隆新材
600063.SH  # 皖维高新
600409.SH  # 三友化工
600527.SH  # 江南高纤
600810.SH  # 神马股份
600889.SH  # 南京化纤
601113.SH  # 华鼎股份
601233.SH  # 桐昆股份
603225.SH  # 新凤鸣
603332.SH  # 苏州龙杰
603382.SH  # 海阳科技
603406.SH  # 天富龙
605166.SH  # 聚合顺
688295.SH  # 中复神鹰
688722.SH  # 同益中
