# 化学制药
# 格式: 股票代码.交易所  # 名称

000153.SZ  # 丰原药业
000513.SZ  # 丽珠集团
000566.SZ  # 海南海药
000597.SZ  # 东北制药
000739.SZ  # 普洛药业
000756.SZ  # 新华制药
000766.SZ  # 通化金马
000788.SZ  # 北大医药
000813.SZ  # 德展健康
000908.SZ  # *ST景峰
000915.SZ  # 华特达因
000919.SZ  # 金陵药业
000931.SZ  # 中关村
000952.SZ  # 广济药业
000953.SZ  # 河化股份
000963.SZ  # 华东医药
001367.SZ  # 海森药业
002001.SZ  # 新和成
002019.SZ  # 亿帆医药
002020.SZ  # 京新药业
002099.SZ  # 海翔药业
002102.SZ  # 能特科技
002262.SZ  # 恩华药业
002294.SZ  # 信立泰
002332.SZ  # 仙琚制药
002365.SZ  # 永安药业
002370.SZ  # 亚太药业
002393.SZ  # 力生制药
002399.SZ  # 海普瑞
002422.SZ  # 科伦药业
002437.SZ  # 誉衡药业
002562.SZ  # 兄弟科技
002653.SZ  # 海思科
002675.SZ  # 东诚药业
002755.SZ  # 奥赛康
002773.SZ  # 康弘药业
002793.SZ  # 罗欣药业
002817.SZ  # 黄山胶囊
002826.SZ  # 易明医药
002898.SZ  # *ST赛隆
002900.SZ  # 哈三联
002923.SZ  # 润都股份
002940.SZ  # 昂利康
003020.SZ  # 立方制药
300006.SZ  # 莱美药业
300016.SZ  # 北陆药业
300086.SZ  # 康芝药业
300110.SZ  # 华仁药业
300111.SZ  # 向日葵
300158.SZ  # 振东制药
300194.SZ  # 福安药业
300199.SZ  # 翰宇药业
300233.SZ  # 金城医药
300254.SZ  # 仟源医药
300267.SZ  # 尔康制药
300363.SZ  # 博腾股份
300381.SZ  # 溢多利
300401.SZ  # 花园生物
300434.SZ  # 金石亚药
300436.SZ  # 广生堂
300452.SZ  # 山河药辅
300497.SZ  # 富祥药业
300558.SZ  # 贝达药业
300573.SZ  # 兴齐眼药
300583.SZ  # 赛托生物
300584.SZ  # 海辰药业
300636.SZ  # 同和药业
300702.SZ  # 天宇股份
300705.SZ  # 九典制药
300723.SZ  # 一品红
300725.SZ  # 药石科技
300759.SZ  # 康龙化成
300966.SZ  # 共同药业
301065.SZ  # 本立科技
301075.SZ  # 多瑞医药
301089.SZ  # 拓新药业
301130.SZ  # 西点药业
301211.SZ  # 亨迪药业
301246.SZ  # 宏源药业
301258.SZ  # 富士莱
301277.SZ  # 新天地
301281.SZ  # 科源制药
301301.SZ  # 川宁生物
301507.SZ  # 民生健康
301509.SZ  # 金凯生科
600062.SH  # 华润双鹤
600079.SH  # 人福医药
600196.SH  # 复星医药
600200.SH  # *ST苏吴
600216.SH  # 浙江医药
600267.SH  # 海正药业
600276.SH  # 恒瑞医药
600380.SH  # 健康元
600420.SH  # 国药现代
600488.SH  # 津药药业
600513.SH  # 联环药业
600521.SH  # 华海药业
600624.SH  # ST复华
600664.SH  # 哈药股份
600774.SH  # 汉商集团
600789.SH  # 鲁抗医药
600812.SH  # 华北制药
600851.SH  # 海欣股份
601089.SH  # 福元医药
603168.SH  # 莎普爱思
603207.SH  # 小方制药
603229.SH  # 奥翔药业
603235.SH  # 天新药业
603259.SH  # 药明康德
603351.SH  # 威尔药业
603367.SH  # 辰欣药业
603520.SH  # 司太立
603538.SH  # 美诺华
603669.SH  # 灵康药业
603676.SH  # 卫信康
603811.SH  # 诚意药业
605116.SH  # 奥锐特
605177.SH  # 东亚药业
605507.SH  # 国邦医药
688073.SH  # 毕得医药
688091.SH  # 上海谊众
688131.SH  # 皓元医药
688166.SH  # 博瑞医药
688176.SH  # 亚虹医药-U
688179.SH  # 阿拉丁
688189.SH  # 南新制药
688197.SH  # 首药控股-U
688222.SH  # 成都先导
688247.SH  # 宣泰医药
688321.SH  # 微芯生物
688356.SH  # 键凯科技
688373.SH  # 盟科药业-U
688505.SH  # 复旦张江
688506.SH  # 百利天恒
688513.SH  # 苑东生物
688553.SH  # 汇宇制药-W
688566.SH  # 吉贝尔
688578.SH  # 艾力斯
688639.SH  # 华恒生物
688658.SH  # 悦康药业
688799.SH  # 华纳药厂
