# 火力发电
# 格式: 股票代码.交易所  # 名称

000027.SZ  # 深圳能源
000037.SZ  # 深南电A
000531.SZ  # 穗恒运A
000539.SZ  # 粤电力A
000543.SZ  # 皖能电力
000600.SZ  # 建投能源
000690.SZ  # 宝新能源
000767.SZ  # 晋控电力
000875.SZ  # 吉电股份
000899.SZ  # 赣能股份
000966.SZ  # 长源电力
001286.SZ  # 陕西能源
001896.SZ  # 豫能控股
002608.SZ  # 江苏国信
600011.SH  # 华能国际
600021.SH  # 上海电力
600023.SH  # 浙能电力
600027.SH  # 华电国际
600098.SH  # 广州发展
600157.SH  # 永泰能源
600396.SH  # 华电辽能
600509.SH  # 天富能源
600575.SH  # 淮河能源
600578.SH  # 京能电力
600642.SH  # 申能股份
600726.SH  # 华电能源
600744.SH  # 华银电力
600780.SH  # 通宝能源
600795.SH  # 国电电力
600863.SH  # 内蒙华电
601991.SH  # 大唐发电
