# IT设备
# 格式: 股票代码.交易所  # 名称

000066.SZ  # 中国长城
000938.SZ  # 紫光股份
000977.SZ  # 浪潮信息
000997.SZ  # 新大陆
001229.SZ  # 魅视科技
001339.SZ  # 智微智能
002152.SZ  # 广电运通
002180.SZ  # 纳思达
002197.SZ  # ST证通
002236.SZ  # 大华股份
002268.SZ  # 电科网安
002351.SZ  # 漫步者
002376.SZ  # 新北洋
002415.SZ  # 海康威视
002512.SZ  # 达华智能
002528.SZ  # ST英飞拓
002577.SZ  # 雷柏科技
002835.SZ  # 同为股份
002866.SZ  # 传艺科技
002912.SZ  # 中新赛克
002955.SZ  # 鸿合科技
002970.SZ  # 锐明技术
003004.SZ  # *ST声迅
300042.SZ  # 朗科科技
300045.SZ  # 华力创通
300076.SZ  # GQY视讯
300079.SZ  # 数码视讯
300130.SZ  # 新国都
300155.SZ  # 安居宝
300249.SZ  # 依米康
300270.SZ  # 中威电子
300302.SZ  # 同有科技
300333.SZ  # 兆日科技
300368.SZ  # 汇金股份
300386.SZ  # 飞天诚信
300449.SZ  # 汉邦高科
300455.SZ  # 航天智装
300462.SZ  # ST华铭
300531.SZ  # 优博讯
300546.SZ  # 雄帝科技
300552.SZ  # 万集科技
300588.SZ  # 熙菱信息
300656.SZ  # 民德电子
300659.SZ  # 中孚信息
300743.SZ  # 天地数码
300771.SZ  # 智莱科技
300793.SZ  # 佳禾智能
300857.SZ  # 协创数据
300884.SZ  # 狄耐克
300941.SZ  # 创识科技
301042.SZ  # 安联锐视
301189.SZ  # 奥尼电子
301318.SZ  # 维海德
301330.SZ  # 熵基科技
301339.SZ  # 通行宝
301391.SZ  # 卡莱特
301491.SZ  # 汉桑科技
301503.SZ  # 智迪科技
301578.SZ  # 辰奕智能
301589.SZ  # 诺瓦星云
600100.SH  # 同方股份
603019.SH  # 中科曙光
603106.SH  # 恒银科技
603496.SH  # 恒为科技
603508.SH  # 思维列控
603516.SH  # 淳中科技
603660.SH  # 苏州科达
688060.SH  # 云涌科技
688208.SH  # 道通科技
688288.SH  # 鸿泉物联
688475.SH  # 萤石网络
688489.SH  # 三未信安
688775.SH  # 影石创新
