# 建筑工程
# 格式: 股票代码.交易所  # 名称

000010.SZ  # 美丽生态
000032.SZ  # 深桑达A
000065.SZ  # 北方国际
000090.SZ  # 天健集团
000498.SZ  # 山东路桥
000628.SZ  # 高新发展
000779.SZ  # 甘咨询
000928.SZ  # 中钢国际
001267.SZ  # 汇绿生态
002051.SZ  # 中工国际
002060.SZ  # 广东建工
002061.SZ  # 浙江交科
002062.SZ  # 宏润建设
002116.SZ  # 中国海诚
002140.SZ  # 东华科技
002200.SZ  # *ST交投
002307.SZ  # 北新路桥
002323.SZ  # 雅博股份
002431.SZ  # 棕榈股份
002542.SZ  # 中化岩土
002586.SZ  # *ST围海
002628.SZ  # 成都路桥
002663.SZ  # 普邦股份
002761.SZ  # 浙江建投
002775.SZ  # 文科股份
002883.SZ  # 中设股份
002941.SZ  # 新疆交建
002949.SZ  # 华阳国际
003001.SZ  # 中岩大地
003013.SZ  # 地铁设计
300021.SZ  # 大禹节水
300029.SZ  # *ST天龙
300284.SZ  # 苏交科
300384.SZ  # 三联虹普
300500.SZ  # 启迪设计
300506.SZ  # *ST名家
300517.SZ  # 海波重科
300536.SZ  # 农尚环境
300564.SZ  # 筑博设计
300635.SZ  # 中达安
300649.SZ  # 杭州园林
300675.SZ  # 建科院
300712.SZ  # 永福股份
300732.SZ  # 设研院
300746.SZ  # 汉嘉设计
300778.SZ  # 新城市
300826.SZ  # 测绘股份
300844.SZ  # 山水比德
300949.SZ  # 奥雅股份
300977.SZ  # 深圳瑞捷
300982.SZ  # 苏文电能
300983.SZ  # 尤安设计
300986.SZ  # 志特新材
300989.SZ  # 蕾奥规划
301024.SZ  # 霍普股份
301027.SZ  # 华蓝集团
301038.SZ  # 深水规院
301046.SZ  # 能辉科技
301058.SZ  # 中粮科工
301091.SZ  # 深城交
301098.SZ  # 金埔园林
301115.SZ  # 联检科技
301136.SZ  # 招标股份
301167.SZ  # 建研设计
301365.SZ  # 矩阵股份
301390.SZ  # 经纬股份
301505.SZ  # 苏州规划
301632.SZ  # 广东建科
600039.SH  # 四川路桥
600170.SH  # 上海建工
600248.SH  # 陕建股份
600284.SH  # 浦东建设
600491.SH  # 龙元建设
600502.SH  # 安徽建工
600512.SH  # 腾达建设
600629.SH  # 华建集团
600720.SH  # 中交设计
600820.SH  # 隧道股份
600846.SH  # 同济科技
600853.SH  # 龙建股份
600939.SH  # 重庆建工
600970.SH  # 中材国际
601068.SH  # 中铝国际
601117.SH  # 中国化学
601133.SH  # 柏诚股份
601186.SH  # 中国铁建
601226.SH  # 华电科工
601390.SH  # 中国中铁
601611.SH  # 中国核建
601618.SH  # 中国中冶
601668.SH  # 中国建筑
601669.SH  # 中国电建
601789.SH  # 宁波建工
601800.SH  # 中国交建
601868.SH  # 中国能建
603007.SH  # *ST花王
603017.SH  # 中衡设计
603018.SH  # 华设集团
603060.SH  # 国检集团
603153.SH  # 上海建科
603163.SH  # 圣晖集成
603176.SH  # 汇通集团
603183.SH  # 建研院
603257.SH  # 中国瑞林
603316.SH  # 诚邦股份
603357.SH  # 设计总院
603359.SH  # 东珠生态
603388.SH  # *ST元成
603458.SH  # 勘设股份
603637.SH  # 镇海股份
603815.SH  # 交建股份
603843.SH  # *ST正平
603860.SH  # 中公高科
603909.SH  # 建发合诚
603955.SH  # 大千生态
603959.SH  # 百利科技
605167.SH  # 利柏特
605289.SH  # 罗曼股份
605303.SH  # 园林股份
605598.SH  # 上海港湾
