# 家用电器
# 格式: 股票代码.交易所  # 名称

000016.SZ  # 深康佳A
000333.SZ  # 美的集团
000404.SZ  # 长虹华意
000521.SZ  # 长虹美菱
000541.SZ  # 佛山照明
000651.SZ  # 格力电器
000801.SZ  # 四川九洲
000810.SZ  # 创维数字
000921.SZ  # 海信家电
001259.SZ  # 利仁科技
001387.SZ  # 雪祺电气
002005.SZ  # ST德豪
002011.SZ  # 盾安环境
002032.SZ  # 苏泊尔
002035.SZ  # 华帝股份
002050.SZ  # 三花智控
002052.SZ  # 同洲电子
002076.SZ  # *ST星光
002242.SZ  # 九阳股份
002290.SZ  # 禾盛新材
002403.SZ  # 爱仕达
002418.SZ  # 康盛股份
002420.SZ  # 毅昌科技
002429.SZ  # 兆驰股份
002508.SZ  # 老板电器
002543.SZ  # 万和电气
002614.SZ  # 奥佳华
002638.SZ  # 勤上股份
002668.SZ  # TCL智家
002676.SZ  # 顺威股份
002677.SZ  # 浙江美大
002705.SZ  # 新宝股份
002723.SZ  # 小崧股份
002848.SZ  # *ST高斯
002860.SZ  # 星帅尔
002959.SZ  # 小熊电器
003023.SZ  # 彩虹集团
300160.SZ  # 秀强股份
300217.SZ  # 东方电热
300272.SZ  # 开能健康
300342.SZ  # 天银机电
300403.SZ  # 汉宇集团
300625.SZ  # 三雄极光
300808.SZ  # 久量股份
300824.SZ  # 北鼎股份
300894.SZ  # 火星人
300911.SZ  # 亿田智能
301008.SZ  # 宏昌科技
301187.SZ  # 欧圣电气
301332.SZ  # 德尔玛
301525.SZ  # 儒竞科技
600060.SH  # 海信视像
600261.SH  # 阳光照明
600336.SH  # 澳柯玛
600619.SH  # 海立股份
600690.SH  # 海尔智家
600839.SH  # 四川长虹
600854.SH  # 春兰股份
600983.SH  # 惠而浦
601956.SH  # 东贝集团
603075.SH  # 热威股份
603195.SH  # 公牛集团
603215.SH  # 比依股份
603219.SH  # 富佳股份
603303.SH  # 得邦照明
603311.SH  # 金海高科
603355.SH  # 莱克电气
603366.SH  # 日出东方
603486.SH  # 科沃斯
603515.SH  # 欧普照明
603519.SH  # 立霸股份
603578.SH  # 三星新材
603579.SH  # 荣泰健康
603657.SH  # 春光科技
603677.SH  # 奇精机械
603726.SH  # 朗迪集团
603868.SH  # 飞科电器
605336.SH  # 帅丰电器
605365.SH  # 立达信
605555.SH  # 德昌股份
688169.SH  # 石头科技
688609.SH  # 九联科技
688696.SH  # 极米科技
688793.SH  # 倍轻松
