# 机械基件
# 格式: 股票代码.交易所  # 名称

000530.SZ  # 冰山冷热
000777.SZ  # 中核科技
001268.SZ  # 联合精密
001306.SZ  # 夏厦精密
001379.SZ  # 腾达科技
002026.SZ  # 山东威达
002046.SZ  # 国机精工
002150.SZ  # 通润装备
002164.SZ  # 宁波东力
002184.SZ  # 海得控制
002272.SZ  # 川润股份
002282.SZ  # 博深股份
002342.SZ  # 巨力索具
002347.SZ  # 泰尔股份
002438.SZ  # 江苏神通
002514.SZ  # 宝馨科技
002598.SZ  # 山东章鼓
002633.SZ  # 申科股份
002747.SZ  # 埃斯顿
002760.SZ  # 凤形股份
002795.SZ  # 永和智控
002823.SZ  # 凯中精密
002871.SZ  # 伟隆股份
002877.SZ  # 智能自控
002884.SZ  # 凌霄泵业
002896.SZ  # 中大力德
002931.SZ  # 锋龙股份
300091.SZ  # 金通灵
300145.SZ  # 南方泵业
300154.SZ  # 瑞凌股份
300257.SZ  # 开山股份
300260.SZ  # 新莱应材
300420.SZ  # 五洋自控
300421.SZ  # 力星股份
300464.SZ  # 星徽股份
300470.SZ  # 中密控股
300488.SZ  # 恒锋工具
300503.SZ  # 昊志机电
300606.SZ  # 金太阳
300718.SZ  # 长盛轴承
300780.SZ  # 德恩精工
300817.SZ  # 双飞集团
300828.SZ  # 锐新科技
300838.SZ  # 浙江力诺
300850.SZ  # 新强联
300885.SZ  # 海昌新材
300943.SZ  # 春晖智控
300946.SZ  # 恒而达
300971.SZ  # 博亚精工
300984.SZ  # 金沃股份
300988.SZ  # 津荣天宇
300992.SZ  # 泰福泵业
301040.SZ  # 中环海陆
301043.SZ  # 绿岛风
301070.SZ  # 开勒股份
301079.SZ  # 邵阳液压
301107.SZ  # 瑜欣电子
301125.SZ  # 腾亚精工
301137.SZ  # 哈焊华通
301151.SZ  # 冠龙节能
301160.SZ  # 翔楼新材
301202.SZ  # 朗威股份
301232.SZ  # 飞沃科技
301252.SZ  # 同星科技
301255.SZ  # 通力科技
301261.SZ  # 恒工精密
301268.SZ  # 铭利达
301273.SZ  # 瑞晨环保
301309.SZ  # 万得凯
301311.SZ  # 昆船智能
301317.SZ  # 鑫磊股份
301368.SZ  # 丰立智能
301377.SZ  # 鼎泰高科
301399.SZ  # 英特科技
301446.SZ  # 福事特
301448.SZ  # 开创电气
301548.SZ  # 崇德科技
301596.SZ  # 瑞迪智驱
301616.SZ  # 浙江华业
600114.SH  # 东睦股份
600343.SH  # 航天动力
600592.SH  # 龙溪股份
601002.SH  # 晋亿实业
601177.SH  # 杭齿前进
601369.SH  # 陕鼓动力
603092.SH  # 德力佳
603112.SH  # 华翔股份
603173.SH  # 福斯达
603187.SH  # 海容冷链
603269.SH  # 海鸥股份
603270.SH  # 金帝股份
603308.SH  # 应流股份
603400.SH  # 华之杰
603617.SH  # 君禾股份
603667.SH  # 五洲新春
603699.SH  # 纽威股份
603757.SH  # 大元泵业
603915.SH  # 国茂股份
605060.SH  # 联德股份
605100.SH  # 华丰股份
605389.SH  # 长龄液压
688017.SH  # 绿的谐波
688028.SH  # 沃尔德
688059.SH  # 华锐精密
688255.SH  # 凯尔达
688257.SH  # 新锐股份
688308.SH  # 欧科亿
688333.SH  # 铂力特
688355.SH  # 明志科技
688360.SH  # 德马科技
688379.SH  # 华光新材
688395.SH  # 正弦电气
688455.SH  # 科捷智能
