# 矿物制品
# 格式: 股票代码.交易所  # 名称

000795.SZ  # 英洛华
000970.SZ  # 中科三环
001269.SZ  # 欧晶科技
001359.SZ  # 平安电工
002057.SZ  # 中钢天源
002088.SZ  # 鲁阳节能
300127.SZ  # 银河磁体
300179.SZ  # 四方达
300224.SZ  # 正海磁材
300554.SZ  # 三超新材
300700.SZ  # 岱勒新材
300748.SZ  # 金力永磁
300811.SZ  # 铂科新材
300835.SZ  # 龙磁科技
300861.SZ  # 美畅股份
301071.SZ  # 力量钻石
301141.SZ  # 中科磁业
301622.SZ  # 英思特
600172.SH  # 黄河旋风
600366.SH  # 宁波韵升
600516.SH  # 方大炭素
603072.SH  # 天和磁材
603612.SH  # 索通发展
603688.SH  # 石英股份
605086.SH  # 龙高股份
688077.SH  # 大地熊
688190.SH  # 云路股份
688300.SH  # 联瑞新材
688398.SH  # 赛特新材
688598.SH  # 金博股份
688733.SH  # 壹石通
