# 铝
# 格式: 股票代码.交易所  # 名称

000612.SZ  # 焦作万方
000807.SZ  # 云铝股份
000933.SZ  # 神火股份
002128.SZ  # 电投能源
002160.SZ  # 常铝股份
002379.SZ  # 宏创控股
002501.SZ  # 利源股份
002532.SZ  # 天山铝业
002540.SZ  # 亚太科技
002578.SZ  # 闽发铝业
002824.SZ  # 和胜股份
002988.SZ  # 豪美新材
002996.SZ  # 顺博合金
003038.SZ  # 鑫铂股份
300057.SZ  # 万顺新材
300337.SZ  # 银邦股份
600219.SH  # 南山铝业
600361.SH  # 创新新材
600595.SH  # 中孚实业
600615.SH  # 鑫源智造
600768.SH  # 宁波富邦
600888.SH  # 新疆众和
601388.SH  # 怡球资源
601600.SH  # 中国铝业
601677.SH  # 明泰铝业
601702.SH  # 华峰铝业
603115.SH  # 海星股份
603271.SH  # 永杰新材
603876.SH  # 鼎胜新材
603937.SH  # 丽岛新材
605208.SH  # 永茂泰
