# 农药化肥
# 格式: 股票代码.交易所  # 名称

000408.SZ  # 藏格矿业
000422.SZ  # 湖北宜化
000525.SZ  # 红太阳
000553.SZ  # 安道麦A
000731.SZ  # 四川美丰
000792.SZ  # 盐湖股份
000893.SZ  # 亚钾国际
000902.SZ  # 新洋丰
000912.SZ  # 泸天化
001231.SZ  # 农心科技
002004.SZ  # 华邦健康
002170.SZ  # 芭田股份
002215.SZ  # 诺普信
002258.SZ  # 利尔化学
002274.SZ  # 华昌化工
002391.SZ  # 长青股份
002470.SZ  # 金正大
002496.SZ  # *ST辉丰
002538.SZ  # 司尔特
002539.SZ  # 云图控股
002545.SZ  # 东方铁塔
002556.SZ  # 辉隆股份
002588.SZ  # 史丹利
002734.SZ  # 利民股份
002749.SZ  # 国光股份
002942.SZ  # 新农股份
003042.SZ  # 中农联合
300261.SZ  # 雅本化学
300387.SZ  # 富邦科技
300505.SZ  # 川金诺
300575.SZ  # 中旗股份
300796.SZ  # 贝斯美
300804.SZ  # 广康生化
301035.SZ  # 润丰股份
301665.SZ  # 泰禾股份
600096.SH  # 云天化
600141.SH  # 兴发集团
600227.SH  # 赤天化
600331.SH  # 宏达股份
600389.SH  # 江山股份
600423.SH  # 柳化股份
600426.SH  # 华鲁恒升
600470.SH  # 六国化工
600486.SH  # 扬农化工
600691.SH  # 潞化科技
600731.SH  # 湖南海利
603086.SH  # 先达股份
603360.SH  # 百傲化学
603395.SH  # 红四方
603585.SH  # 苏利股份
603599.SH  # 广信股份
603639.SH  # 海利尔
603810.SH  # 丰山集团
603970.SH  # 中农立华
605033.SH  # 美邦股份
