# 农业综合
# 格式: 股票代码.交易所  # 名称

000019.SZ  # 深粮控股
000048.SZ  # 京基智农
000061.SZ  # 农产品
000638.SZ  # *ST万方
000735.SZ  # 罗牛山
000930.SZ  # 中粮科技
001201.SZ  # 东瑞股份
002124.SZ  # 天邦食品
002141.SZ  # 贤丰控股
002157.SZ  # 正邦科技
002234.SZ  # 民和股份
002299.SZ  # 圣农发展
002321.SZ  # 华英农业
002458.SZ  # 益生股份
002688.SZ  # 金河生物
002714.SZ  # 牧原股份
002746.SZ  # 仙坛股份
002868.SZ  # *ST绿康
002982.SZ  # 湘佳股份
300119.SZ  # 瑞普生物
300268.SZ  # *ST佳沃
300313.SZ  # *ST天山
300498.SZ  # 温氏股份
300761.SZ  # 立华股份
300871.SZ  # 回盛生物
300967.SZ  # 晓鸣股份
600127.SH  # 金健米业
600195.SH  # 中牧股份
600201.SH  # 生物股份
600251.SH  # 冠农股份
600965.SH  # 福成股份
600975.SH  # 新五丰
603336.SH  # 宏辉果蔬
603477.SH  # 巨星农牧
603566.SH  # 普莱柯
603717.SH  # 天域生物
603718.SH  # 海利生物
603739.SH  # 蔚蓝生物
605296.SH  # 神农集团
688098.SH  # 申联生物
688526.SH  # 科前生物
