# 汽车配件
# 格式: 股票代码.交易所  # 名称

000030.SZ  # 富奥股份
000338.SZ  # 潍柴动力
000559.SZ  # 万向钱潮
000581.SZ  # 威孚高科
000589.SZ  # 贵州轮胎
000599.SZ  # 青岛双星
000678.SZ  # 襄阳轴承
000700.SZ  # 模塑科技
000887.SZ  # 中鼎股份
000901.SZ  # 航天科技
000903.SZ  # ST云动
000980.SZ  # 众泰汽车
000981.SZ  # 山子高科
001260.SZ  # 坤泰股份
001278.SZ  # 一彬科技
001282.SZ  # 三联锻造
001285.SZ  # 瑞立科密
001311.SZ  # 多利科技
001319.SZ  # 铭科精技
001380.SZ  # 华纬科技
002031.SZ  # 巨轮智能
002048.SZ  # 宁波华翔
002085.SZ  # 万丰奥威
002101.SZ  # 广东鸿图
002126.SZ  # 银轮股份
002190.SZ  # 成飞集成
002239.SZ  # 奥特佳
002283.SZ  # 天润工业
002284.SZ  # 亚太股份
002328.SZ  # 新朋股份
002355.SZ  # 兴民智通
002363.SZ  # 隆基机械
002406.SZ  # 远东传动
002434.SZ  # 万里扬
002448.SZ  # 中原内配
002454.SZ  # 松芝股份
002472.SZ  # 双环传动
002488.SZ  # 金固股份
002510.SZ  # 天汽模
002516.SZ  # 旷达科技
002536.SZ  # 飞龙股份
002537.SZ  # 海联金汇
002547.SZ  # 春兴精工
002553.SZ  # 南方精工
002590.SZ  # 万安科技
002592.SZ  # ST八菱
002662.SZ  # 峰璟股份
002664.SZ  # 信质集团
002703.SZ  # 浙江世宝
002708.SZ  # 光洋股份
002715.SZ  # 登云股份
002725.SZ  # 跃岭股份
002766.SZ  # 索菱股份
002806.SZ  # 华锋股份
002813.SZ  # 路畅科技
002863.SZ  # 今飞凯达
002870.SZ  # 香山股份
002906.SZ  # 华阳集团
002920.SZ  # 德赛西威
002921.SZ  # 联诚精密
002965.SZ  # 祥鑫科技
002976.SZ  # 瑞玛精密
002984.SZ  # 森麒麟
003033.SZ  # 征和工业
300100.SZ  # 双林股份
300176.SZ  # 鸿特科技
300237.SZ  # ST美晨
300258.SZ  # 精锻科技
300304.SZ  # 云意电气
300375.SZ  # 鹏翎股份
300428.SZ  # 立中集团
300432.SZ  # 富临精工
300446.SZ  # 航天智造
300473.SZ  # 德尔股份
300507.SZ  # 苏奥传感
300547.SZ  # 川环科技
300580.SZ  # 贝斯特
300585.SZ  # 奥联电子
300611.SZ  # 美力科技
300643.SZ  # 万通智控
300652.SZ  # 雷迪克
300680.SZ  # 隆盛科技
300681.SZ  # 英搏尔
300694.SZ  # 蠡湖股份
300695.SZ  # 兆丰股份
300707.SZ  # 威唐工业
300733.SZ  # 西菱动力
300745.SZ  # 欣锐科技
300816.SZ  # 艾可蓝
300863.SZ  # 卡倍亿
300893.SZ  # 松原安全
300912.SZ  # 凯龙高科
300926.SZ  # 博俊科技
300928.SZ  # 华安鑫创
300969.SZ  # 恒帅股份
300978.SZ  # 东箭科技
300985.SZ  # 致远新能
301000.SZ  # 肇民科技
301005.SZ  # 超捷股份
301007.SZ  # 德迈仕
301020.SZ  # 密封科技
301072.SZ  # 中捷精工
301119.SZ  # 正强股份
301133.SZ  # 金钟股份
301170.SZ  # 锡南科技
301173.SZ  # 毓恬冠佳
301181.SZ  # 标榜股份
301192.SZ  # 泰祥股份
301225.SZ  # 恒勃股份
301229.SZ  # 纽泰格
301233.SZ  # 盛帮股份
301298.SZ  # 东利机械
301310.SZ  # 鑫宏业
301397.SZ  # 溯联股份
301398.SZ  # 星源卓镁
301459.SZ  # 丰茂股份
301488.SZ  # 豪恩汽电
301499.SZ  # 维科精密
301529.SZ  # 福赛科技
301535.SZ  # 浙江华远
301539.SZ  # 宏鑫科技
301550.SZ  # 斯菱股份
301552.SZ  # 科力装备
301560.SZ  # 众捷汽车
301607.SZ  # 富特科技
301613.SZ  # 新铝时代
301656.SZ  # 联合动力
600081.SH  # 东风科技
600148.SH  # 长春一东
600151.SH  # 航天机电
600178.SH  # 东安动力
600182.SH  # S佳通
600218.SH  # 全柴动力
600469.SH  # 风神股份
600480.SH  # 凌云股份
600523.SH  # 贵航股份
600609.SH  # 金杯汽车
600626.SH  # 申达股份
600660.SH  # 福耀玻璃
600676.SH  # 交运股份
600698.SH  # 湖南天雁
600699.SH  # 均胜电子
600741.SH  # 华域汽车
600742.SH  # 富维股份
600841.SH  # 动力新科
600933.SH  # 爱柯迪
600960.SH  # 渤海汽车
601058.SH  # 赛轮轮胎
601163.SH  # 三角轮胎
601279.SH  # 英利汽车
601500.SH  # 通用股份
601689.SH  # 拓普集团
601799.SH  # 星宇股份
601966.SH  # 玲珑轮胎
603006.SH  # 联明股份
603009.SH  # 北特科技
603013.SH  # 亚普股份
603023.SH  # 威帝股份
603035.SH  # 常熟汽饰
603037.SH  # 凯众股份
603040.SH  # 新坐标
603048.SH  # 浙江黎明
603049.SH  # 中策橡胶
603085.SH  # 天成自控
603089.SH  # 正裕工业
603107.SH  # 上海汽配
603119.SH  # 浙江荣泰
603121.SH  # 华培动力
603158.SH  # 腾龙股份
603161.SH  # 科华控股
603166.SH  # 福达股份
603178.SH  # 圣龙股份
603179.SH  # 新泉股份
603190.SH  # 亚通精工
603197.SH  # 保隆科技
603201.SH  # 常润股份
603202.SH  # 天有为
603210.SH  # 泰鸿万立
603211.SH  # 晋拓股份
603239.SH  # 浙江仙通
603266.SH  # 天龙股份
603286.SH  # 日盈电子
603305.SH  # 旭升集团
603306.SH  # 华懋科技
603319.SH  # 美湖股份
603335.SH  # 迪生力
603348.SH  # 文灿股份
603358.SH  # 华达科技
603376.SH  # N大明
603390.SH  # 通达电气
603409.SH  # 汇通控股
603418.SH  # 友升股份
603586.SH  # 金麒麟
603596.SH  # 伯特利
603633.SH  # 徕木股份
603655.SH  # 朗博科技
603701.SH  # 德宏股份
603730.SH  # 岱美股份
603758.SH  # 秦安股份
603767.SH  # 中马传动
603768.SH  # 常青股份
603786.SH  # 科博达
603788.SH  # 宁波高发
603809.SH  # 豪能股份
603917.SH  # 合力科技
603922.SH  # 金鸿顺
603926.SH  # 铁流股份
603949.SH  # 雪龙集团
603950.SH  # 长源东谷
603960.SH  # 克来机电
603982.SH  # 泉峰汽车
603997.SH  # 继峰股份
605005.SH  # 合兴股份
605018.SH  # 长华集团
605068.SH  # 明新旭腾
605088.SH  # 冠盛股份
605128.SH  # 上海沿浦
605133.SH  # 嵘泰股份
605151.SH  # 西上海
605228.SH  # 神通科技
605255.SH  # 天普股份
605319.SH  # 无锡振华
605333.SH  # 沪光股份
688021.SH  # 奥福科技
688280.SH  # 精进电动-UW
688326.SH  # 经纬恒润-W
688339.SH  # 亿华通-U
688533.SH  # 上声电子
688612.SH  # 威迈斯
688667.SH  # 菱电电控
688737.SH  # 中自科技
