# 其他建材
# 格式: 股票代码.交易所  # 名称

000055.SZ  # 方大集团
000619.SZ  # 海螺新材
000786.SZ  # 北新建材
001212.SZ  # 中旗新材
001296.SZ  # 长江材料
002043.SZ  # 兔宝宝
002066.SZ  # 瑞泰科技
002225.SZ  # 濮耐股份
002247.SZ  # 聚力文化
002271.SZ  # 东方雨虹
002333.SZ  # 罗普斯金
002372.SZ  # 伟星新材
002377.SZ  # 国创高新
002392.SZ  # 北京利尔
002398.SZ  # 垒知集团
002652.SZ  # 扬子新材
002718.SZ  # 友邦吊顶
002785.SZ  # 万里石
002791.SZ  # 坚朗五金
300374.SZ  # 中铁装配
300715.SZ  # 凯伦股份
300737.SZ  # 科顺股份
301010.SZ  # 晶雪节能
301429.SZ  # 森泰股份
603969.SH  # 银龙股份
605318.SH  # 法狮龙
688119.SH  # 中钢洛耐
