# 区域地产
# 格式: 股票代码.交易所  # 名称

000006.SZ  # 深振业A
000029.SZ  # 深深房A
000514.SZ  # 渝开发
000517.SZ  # 荣安地产
000573.SZ  # 粤宏远A
000608.SZ  # *ST阳光
000609.SZ  # ST中迪
000718.SZ  # 苏宁环球
000838.SZ  # 财信发展
000863.SZ  # 三湘印象
000886.SZ  # 海南高速
000897.SZ  # 津滨发展
000909.SZ  # ST数源
000926.SZ  # 福星股份
000965.SZ  # 天保基建
002016.SZ  # 世荣兆业
002208.SZ  # 合肥城建
002244.SZ  # 滨江集团
002305.SZ  # *ST南置
002314.SZ  # 南山控股
600094.SH  # 大名城
600113.SH  # 浙江东日
600159.SH  # 大龙地产
600185.SH  # 珠免集团
600239.SH  # 云南城投
600246.SH  # 万通发展
600266.SH  # 城建发展
600322.SH  # 津投城开
600325.SH  # 华发股份
600376.SH  # 首开股份
600503.SH  # 华丽家族
600533.SH  # 栖霞建设
600603.SH  # 广汇物流
600622.SH  # 光大嘉宝
600638.SH  # 新黄浦
600649.SH  # 城投控股
600675.SH  # 中华企业
600683.SH  # 京投发展
600684.SH  # 珠江股份
600692.SH  # 亚通股份
600716.SH  # 凤凰股份
600743.SH  # 华远控股
600773.SH  # 西藏城投
601155.SH  # 新城控股
601588.SH  # 北辰实业
