# 染料涂料
# 格式: 股票代码.交易所  # 名称

000565.SZ  # 渝三峡A
002054.SZ  # 德美化工
002319.SZ  # 乐通股份
002440.SZ  # 闰土股份
300067.SZ  # 安诺其
300225.SZ  # *ST金泰
300522.SZ  # 世名科技
300537.SZ  # 广信材料
300576.SZ  # 容大感光
300665.SZ  # 飞鹿股份
300758.SZ  # 七彩化学
300798.SZ  # 锦鸡股份
300905.SZ  # 宝丽迪
301036.SZ  # 双乐股份
301037.SZ  # 保立佳
301190.SZ  # 善水科技
301209.SZ  # 联合化学
301585.SZ  # 蓝宇股份
301618.SZ  # 长联科技
600352.SH  # 浙江龙盛
603062.SH  # 麦加芯彩
603110.SH  # 东方材料
603172.SH  # 万丰股份
603188.SH  # 亚邦股份
603378.SH  # 亚士创能
603737.SH  # 三棵树
603790.SH  # 雅运股份
603823.SH  # 百合花
603826.SH  # 坤彩科技
603980.SH  # 吉华集团
605566.SH  # 福莱蒽特
688129.SH  # 东来技术
688157.SH  # 松井股份
688571.SH  # 杭华股份
