# 软件服务
# 格式: 股票代码.交易所  # 名称

000004.SZ  # *ST国华
000034.SZ  # 神州数码
000158.SZ  # 常山北明
000409.SZ  # 云鼎科技
000503.SZ  # 国新健康
000555.SZ  # 神州信息
000948.SZ  # 南天信息
002063.SZ  # 远光软件
002065.SZ  # 东华软件
002153.SZ  # 石基信息
002178.SZ  # 延华智能
002195.SZ  # 岩山科技
002212.SZ  # 天融信
002230.SZ  # 科大讯飞
002232.SZ  # 启明信息
002253.SZ  # *ST智胜
002261.SZ  # 拓维信息
002279.SZ  # 久其软件
002316.SZ  # 亚联发展
002322.SZ  # 理工能科
002331.SZ  # 皖通科技
002362.SZ  # 汉王科技
002368.SZ  # 太极股份
002373.SZ  # 千方科技
002380.SZ  # 科远智慧
002401.SZ  # 中远海科
002405.SZ  # 四维图新
002410.SZ  # 广联达
002421.SZ  # 达实智能
002439.SZ  # 启明星辰
002474.SZ  # 榕基软件
002609.SZ  # 捷顺科技
002642.SZ  # 荣联科技
002649.SZ  # 博彦科技
002657.SZ  # 中科金财
002771.SZ  # 真视通
002777.SZ  # 久远银海
002908.SZ  # 德生科技
002987.SZ  # 京北方
002990.SZ  # 盛视科技
003005.SZ  # 竞业达
003007.SZ  # 直真科技
003029.SZ  # 吉大正元
300010.SZ  # 豆神教育
300017.SZ  # 网宿科技
300020.SZ  # ST银江
300033.SZ  # 同花顺
300036.SZ  # 超图软件
300044.SZ  # ST赛为
300047.SZ  # 天源迪科
300074.SZ  # 华平股份
300075.SZ  # 数字政通
300078.SZ  # 思创医惠
300085.SZ  # 银之杰
300096.SZ  # ST易联众
300098.SZ  # 高新兴
300150.SZ  # 世纪瑞尔
300166.SZ  # 东方国信
300167.SZ  # ST迪威迅
300168.SZ  # 万达信息
300170.SZ  # 汉得信息
300188.SZ  # 国投智能
300212.SZ  # 易华录
300229.SZ  # 拓尔思
300231.SZ  # 银信科技
300235.SZ  # 方直科技
300245.SZ  # 天玑科技
300248.SZ  # 新开普
300250.SZ  # 初灵信息
300253.SZ  # 卫宁健康
300264.SZ  # 佳创视讯
300271.SZ  # 华宇软件
300277.SZ  # 海联讯
300287.SZ  # 飞利信
300288.SZ  # 朗玛信息
300290.SZ  # 荣科科技
300300.SZ  # 海峡创新
300311.SZ  # ST任子行
300324.SZ  # 旋极信息
300339.SZ  # 润和软件
300344.SZ  # ST立方
300348.SZ  # 长亮科技
300352.SZ  # 北信源
300365.SZ  # 恒华科技
300366.SZ  # ST创意
300369.SZ  # 绿盟科技
300377.SZ  # 赢时胜
300378.SZ  # 鼎捷数智
300379.SZ  # *ST东通
300380.SZ  # 安硕信息
300383.SZ  # 光环新网
300419.SZ  # ST浩丰
300440.SZ  # 运达科技
300442.SZ  # 润泽科技
300448.SZ  # 浩云科技
300451.SZ  # 创业慧康
300454.SZ  # 深信服
300465.SZ  # 高伟达
300468.SZ  # 四方精创
300469.SZ  # 信息发展
300479.SZ  # 神思电子
300496.SZ  # 中科创达
300508.SZ  # 维宏股份
300513.SZ  # 恒实科技
300520.SZ  # 科大国创
300523.SZ  # 辰安科技
300525.SZ  # 博思软件
300532.SZ  # 今天国际
300541.SZ  # 先进数通
300542.SZ  # 新晨科技
300550.SZ  # 和仁科技
300551.SZ  # 古鳌科技
300556.SZ  # 丝路视觉
300559.SZ  # 佳发教育
300561.SZ  # *ST汇科
300579.SZ  # 数字认证
300598.SZ  # 诚迈科技
300605.SZ  # 恒锋信息
300608.SZ  # 思特奇
300609.SZ  # 汇纳科技
300624.SZ  # 万兴科技
300634.SZ  # 彩讯股份
300645.SZ  # 正元智慧
300663.SZ  # 科蓝软件
300674.SZ  # 宇信科技
300678.SZ  # 中科信息
300682.SZ  # 朗新集团
300687.SZ  # 赛意信息
300730.SZ  # 科创信息
300738.SZ  # 奥飞数据
300768.SZ  # 迪普科技
300773.SZ  # 拉卡拉
300803.SZ  # 指南针
300807.SZ  # 天迈科技
300830.SZ  # 金现代
300845.SZ  # 捷安高科
300846.SZ  # 首都在线
300872.SZ  # 天阳科技
300895.SZ  # 铜牛信息
300925.SZ  # 法本信息
300935.SZ  # 盈建科
300996.SZ  # 普联软件
301085.SZ  # 亚康股份
301117.SZ  # 佳缘科技
301153.SZ  # 中科江南
301159.SZ  # 三维天地
301162.SZ  # 国能日新
301172.SZ  # 君逸数码
301178.SZ  # 天亿马
301179.SZ  # 泽宇智能
301185.SZ  # 鸥玛软件
301195.SZ  # 北路智控
301197.SZ  # 工大科雅
301208.SZ  # 中亦科技
301213.SZ  # 观想科技
301218.SZ  # 华是科技
301221.SZ  # 光庭信息
301236.SZ  # 软通动力
301248.SZ  # 杰创智能
301270.SZ  # 汉仪股份
301302.SZ  # 华如科技
301315.SZ  # 威士顿
301316.SZ  # 慧博云通
301337.SZ  # 亚华电子
301378.SZ  # 通达海
301380.SZ  # 挖金客
301396.SZ  # 宏景科技
301556.SZ  # 托普云农
301592.SZ  # 六九一二
600271.SH  # 航天信息
600289.SH  # ST信通
600410.SH  # 华胜天成
600446.SH  # 金证股份
600476.SH  # 湘邮科技
600536.SH  # 中国软件
600570.SH  # 恒生电子
600571.SH  # 信雅达
600588.SH  # 用友网络
600589.SH  # 大位科技
600602.SH  # 云赛智联
600718.SH  # 东软集团
600728.SH  # 佳都科技
600734.SH  # 实达集团
600756.SH  # 浪潮软件
600797.SH  # 浙大网新
600845.SH  # 宝信软件
600850.SH  # 电科数字
600936.SH  # 广西广电
601519.SH  # 大智慧
603039.SH  # 泛微网络
603138.SH  # 海量数据
603171.SH  # 税友股份
603189.SH  # 网达软件
603232.SH  # 格尔软件
603383.SH  # 顶点软件
603528.SH  # 多伦科技
603636.SH  # 南威软件
603859.SH  # 能科科技
603869.SH  # ST智知
603881.SH  # 数据港
603887.SH  # 城地香江
603918.SH  # 金桥信息
603927.SH  # 中科软
603990.SH  # 麦迪科技
605398.SH  # 新炬网络
688004.SH  # 博汇科技
688023.SH  # 安恒信息
688030.SH  # 山石网科
688031.SH  # 星环科技-U
688038.SH  # 中科通达
688039.SH  # 当虹科技
688051.SH  # 佳华科技
688058.SH  # 宝兰德
688066.SH  # 航天宏图
688078.SH  # 龙软科技
688081.SH  # 兴图新科
688083.SH  # 中望软件
688088.SH  # 虹软科技
688095.SH  # 福昕软件
688109.SH  # 品茗科技
688111.SH  # 金山办公
688118.SH  # 普元信息
688152.SH  # 麒麟信安
688158.SH  # 优刻得-W
688168.SH  # 安博通
688171.SH  # 纬德信息
688191.SH  # 智洋创新
688201.SH  # 信安世纪
688207.SH  # 格灵深瞳
688225.SH  # 亚信安全
688227.SH  # 品高股份
688228.SH  # 开普云
688229.SH  # 博睿数据
688232.SH  # 新点软件
688244.SH  # 永信至诚
688246.SH  # 嘉和美康
688258.SH  # 卓易信息
688291.SH  # 金橙子
688296.SH  # 和达科技
688316.SH  # 青云科技-U
688318.SH  # 财富趋势
688327.SH  # 云从科技-UW
688343.SH  # 云天励飞-U
688365.SH  # 光云科技
688369.SH  # 致远互联
688435.SH  # 英方软件
688479.SH  # 友车科技
688507.SH  # 索辰科技
688509.SH  # 正元地信
688561.SH  # 奇安信-U
688562.SH  # 航天软件
688568.SH  # 中科星图
688579.SH  # 山大地纬
688588.SH  # 凌志软件
688590.SH  # 新致软件
688615.SH  # 合合信息
688619.SH  # 罗普特
688631.SH  # 莱斯信息
688651.SH  # 盛邦安全
688657.SH  # 浩辰软件
688682.SH  # 霍莱沃
688692.SH  # 达梦数据
688695.SH  # 中创股份
688787.SH  # 海天瑞声
