# 生物制药
# 格式: 股票代码.交易所  # 名称

000403.SZ  # 派林生物
000518.SZ  # *ST四环
000534.SZ  # 万泽股份
000661.SZ  # 长春高新
002007.SZ  # 华兰生物
002038.SZ  # 双鹭药业
002252.SZ  # 上海莱士
002550.SZ  # 千红制药
002581.SZ  # ST未名
002693.SZ  # *ST双成
002821.SZ  # 凯莱英
002880.SZ  # 卫光生物
300009.SZ  # 安科生物
300122.SZ  # 智飞生物
300142.SZ  # 沃森生物
300149.SZ  # 睿智医药
300204.SZ  # 舒泰神
300239.SZ  # 东宝生物
300255.SZ  # 常山药业
300294.SZ  # 博雅生物
300357.SZ  # 我武生物
300485.SZ  # 赛升药业
300601.SZ  # 康泰生物
300683.SZ  # 海特生物
300841.SZ  # 康华生物
301047.SZ  # 义翘神州
301080.SZ  # 百普赛斯
301201.SZ  # 诚达药业
301207.SZ  # 华兰疫苗
301230.SZ  # 泓博医药
301520.SZ  # 万邦医药
600161.SH  # 天坛生物
600211.SH  # 西藏药业
600682.SH  # 南京新百
600721.SH  # 百花医药
600739.SH  # 辽宁成大
600867.SH  # 通化东宝
603087.SH  # 甘李药业
603392.SH  # 万泰生物
603590.SH  # 康辰药业
603707.SH  # 健友股份
688046.SH  # 药康生物
688062.SH  # 迈威生物-U
688076.SH  # ST诺泰
688105.SH  # 诺唯赞
688117.SH  # 圣诺生物
688136.SH  # 科兴制药
688137.SH  # 近岸蛋白
688163.SH  # 赛伦生物
688177.SH  # 百奥泰
688180.SH  # 君实生物-U
688185.SH  # 康希诺
688192.SH  # 迪哲医药-U
688221.SH  # 前沿生物-U
688235.SH  # 百济神州-U
688266.SH  # 泽璟制药-U
688276.SH  # 百克生物
688278.SH  # 特宝生物
688293.SH  # 奥浦迈
688302.SH  # 海创药业-U
688319.SH  # 欧林生物
688331.SH  # 荣昌生物
688336.SH  # 三生国健
688382.SH  # 益方生物-U
688426.SH  # 康为世纪
688428.SH  # 诺诚健华-U
688443.SH  # 智翔金泰-U
688488.SH  # 艾迪药业
688520.SH  # 神州细胞
688670.SH  # 金迪克
688687.SH  # 凯因科技
688710.SH  # 益诺思
688739.SH  # 成大生物
688759.SH  # 必贝特-U
688765.SH  # 禾元生物-U
