# 食品
# 格式: 股票代码.交易所  # 名称

000505.SZ  # 京粮控股
000523.SZ  # 红棉股份
000529.SZ  # 广弘控股
000639.SZ  # 西王食品
000716.SZ  # 黑芝麻
000895.SZ  # 双汇发展
000911.SZ  # 广农糖业
000972.SZ  # *ST中基
001215.SZ  # 千味央厨
001219.SZ  # 青岛食品
002216.SZ  # 三全食品
002286.SZ  # 保龄宝
002330.SZ  # 得利斯
002481.SZ  # 双塔食品
002495.SZ  # 佳隆股份
002507.SZ  # 涪陵榨菜
002515.SZ  # 金字火腿
002557.SZ  # 洽洽食品
002582.SZ  # 好想你
002597.SZ  # 金禾实业
002650.SZ  # ST加加
002661.SZ  # 克明食品
002695.SZ  # 煌上煌
002702.SZ  # 海欣食品
002726.SZ  # 龙大美食
002820.SZ  # 桂发祥
002840.SZ  # 华统股份
002847.SZ  # 盐津铺子
002852.SZ  # 道道全
002956.SZ  # 西麦食品
002991.SZ  # 甘源食品
003000.SZ  # 劲仔食品
003030.SZ  # 祖名股份
300138.SZ  # 晨光生物
300146.SZ  # 汤臣倍健
300175.SZ  # ST朗源
300741.SZ  # 华宝股份
300765.SZ  # 新诺威
300783.SZ  # 三只松鼠
300829.SZ  # 金丹科技
300858.SZ  # 科拓生物
300908.SZ  # 仲景食品
300972.SZ  # 万辰集团
300973.SZ  # 立高食品
300999.SZ  # 金龙鱼
301116.SZ  # 益客食品
301206.SZ  # 三元生物
600073.SH  # 光明肉业
600186.SH  # 莲花控股
600191.SH  # 华资实业
600298.SH  # 安琪酵母
600305.SH  # 恒顺醋业
600737.SH  # 中粮糖业
600872.SH  # 中炬高新
600873.SH  # 梅花生物
600929.SH  # 雪天盐业
603020.SH  # 爱普股份
603027.SH  # 千禾味业
603043.SH  # 广州酒家
603057.SH  # 紫燕食品
603079.SH  # 圣达生物
603170.SH  # 宝立食品
603182.SH  # 嘉华股份
603231.SH  # 索宝蛋白
603237.SH  # 五芳斋
603262.SH  # 技源集团
603288.SH  # 海天味业
603299.SH  # 苏盐井神
603317.SH  # 天味食品
603345.SH  # 安井食品
603517.SH  # ST绝味
603536.SH  # 惠发食品
603696.SH  # 安记食品
603697.SH  # 有友食品
603719.SH  # 良品铺子
603755.SH  # 日辰股份
603777.SH  # 来伊份
603866.SH  # 桃李面包
603886.SH  # 元祖股份
605016.SH  # 百龙创园
605077.SH  # 华康股份
605089.SH  # 味知香
605338.SH  # 巴比食品
605339.SH  # 南侨食品
605567.SH  # 春雪食品
688089.SH  # 嘉必优
