# 塑料
# 格式: 股票代码.交易所  # 名称

000859.SZ  # 国风新材
000920.SZ  # 沃顿科技
000973.SZ  # 佛塑科技
001356.SZ  # 富岭股份
001378.SZ  # 德冠新材
002014.SZ  # 永新股份
002108.SZ  # 沧州明珠
002263.SZ  # 大东南
002324.SZ  # 普利特
002395.SZ  # 双象股份
002457.SZ  # 青龙管业
002522.SZ  # 浙江众成
002585.SZ  # 双星新材
002632.SZ  # 道明光学
002641.SZ  # 公元股份
002694.SZ  # 顾地科技
002735.SZ  # 王子新材
002768.SZ  # 国恩股份
002838.SZ  # 道恩股份
002886.SZ  # 沃特股份
003018.SZ  # 金富科技
300169.SZ  # 天晟新材
300198.SZ  # ST纳川
300218.SZ  # 安利股份
300221.SZ  # 银禧科技
300230.SZ  # 永利股份
300305.SZ  # 裕兴股份
300321.SZ  # 同大股份
300393.SZ  # 中来股份
300478.SZ  # 杭州高新
300538.SZ  # 同益股份
300539.SZ  # 横河精密
300599.SZ  # 雄塑科技
300644.SZ  # 南京聚隆
300716.SZ  # ST泉为
300717.SZ  # 华信新材
300784.SZ  # 利安科技
300806.SZ  # 斯迪克
300849.SZ  # 锦盛新材
300920.SZ  # 润阳科技
300980.SZ  # 祥源新材
300995.SZ  # 奇德新材
301003.SZ  # 江苏博云
301019.SZ  # 宁波色母
301131.SZ  # 聚赛龙
301198.SZ  # 喜悦智行
301237.SZ  # 和顺科技
301538.SZ  # 骏鼎达
301565.SZ  # 中仑新材
301591.SZ  # 肯特股份
600135.SH  # 乐凯胶片
600143.SH  # 金发科技
600458.SH  # 时代新材
600500.SH  # 中化国际
603051.SH  # 鹿山新材
603150.SH  # 万朗磁塑
603212.SH  # 赛伍技术
603330.SH  # 天洋新材
603580.SH  # *ST艾艾
603725.SH  # 天安新材
603806.SH  # 福斯特
603856.SH  # 东宏股份
603991.SH  # 至正股份
605488.SH  # 福莱新材
688203.SH  # 海正生材
688219.SH  # 会通股份
688323.SH  # 瑞华泰
688680.SH  # 海优新材
688718.SH  # 唯赛勃
