# 通信设备
# 格式: 股票代码.交易所  # 名称

000063.SZ  # 中兴通讯
000070.SZ  # 特发信息
000547.SZ  # 航天发展
000561.SZ  # 烽火电子
000586.SZ  # 汇源通信
000815.SZ  # 美利云
000851.SZ  # *ST高鸿
000889.SZ  # 中嘉博创
002017.SZ  # 东信和平
002104.SZ  # 恒宝股份
002151.SZ  # 北斗星通
002161.SZ  # 远望谷
002194.SZ  # 武汉凡谷
002231.SZ  # *ST奥维
002281.SZ  # 光迅科技
002296.SZ  # 辉煌科技
002313.SZ  # 日海智能
002369.SZ  # 卓翼科技
002383.SZ  # 合众思壮
002396.SZ  # 星网锐捷
002413.SZ  # 雷科防务
002446.SZ  # 盛路通信
002465.SZ  # 海格通信
002491.SZ  # 通鼎互联
002519.SZ  # 银河电子
002544.SZ  # 普天科技
002583.SZ  # 海能达
002792.SZ  # 通宇通讯
002796.SZ  # 世嘉科技
002869.SZ  # 金溢科技
002902.SZ  # 铭普光磁
002929.SZ  # 润建股份
002977.SZ  # 天箭科技
003040.SZ  # 楚天龙
300025.SZ  # 华星创业
300050.SZ  # 世纪鼎利
300101.SZ  # 振芯科技
300134.SZ  # 大富科技
300177.SZ  # 中海达
300183.SZ  # 东软载波
300205.SZ  # *ST天喻
300211.SZ  # *ST亿通
300213.SZ  # 佳讯飞鸿
300252.SZ  # 金信诺
300308.SZ  # 中际旭创
300310.SZ  # 宜通世纪
300353.SZ  # 东土科技
300394.SZ  # 天孚通信
300397.SZ  # 天和防务
300414.SZ  # 中光防雷
300502.SZ  # 新易盛
300504.SZ  # 天邑股份
300548.SZ  # 长芯博创
300555.SZ  # ST路通
300560.SZ  # 中富通
300563.SZ  # 神宇股份
300565.SZ  # 科信技术
300570.SZ  # 太辰光
300578.SZ  # 会畅通讯
300590.SZ  # 移为通信
300597.SZ  # 吉大通信
300603.SZ  # 立昂技术
300615.SZ  # 欣天科技
300620.SZ  # 光库科技
300627.SZ  # 华测导航
300628.SZ  # 亿联网络
300638.SZ  # 广和通
300689.SZ  # 澄天伟业
300698.SZ  # 万马科技
300710.SZ  # 万隆光电
300711.SZ  # 广哈通信
300736.SZ  # 百邦科技
300762.SZ  # 上海瀚讯
300913.SZ  # 兆龙互连
301139.SZ  # 元道通信
301165.SZ  # 锐捷网络
301191.SZ  # 菲菱科思
301205.SZ  # 联特科技
301307.SZ  # 美利信
301419.SZ  # 阿莱德
301600.SZ  # 慧翰股份
301608.SZ  # 博实结
600105.SH  # 永鼎股份
600131.SH  # 国网信通
600198.SH  # 大唐电信
600345.SH  # 长江通信
600487.SH  # 亨通光电
600498.SH  # 烽火通信
600522.SH  # 中天科技
600562.SH  # 国睿科技
600590.SH  # 泰豪科技
600775.SH  # 南京熊猫
600776.SH  # 东方通信
600990.SH  # 四创电子
601138.SH  # 工业富联
601869.SH  # 长飞光纤
603042.SH  # 华脉科技
603083.SH  # 剑桥科技
603118.SH  # 共进股份
603206.SH  # 嘉环科技
603220.SH  # 中贝通信
603236.SH  # 移远通信
603322.SH  # 超讯通信
603341.SH  # 龙旗科技
603421.SH  # 鼎信通讯
603559.SH  # ST通脉
603602.SH  # 纵横通信
603712.SH  # 七一二
603803.SH  # 瑞斯康达
688002.SH  # 睿创微纳
688027.SH  # 国盾量子
688036.SH  # 传音控股
688080.SH  # 映翰通
688100.SH  # 威胜信息
688132.SH  # 邦彦技术
688143.SH  # 长盈通
688159.SH  # 有方科技
688175.SH  # 高凌信息
688182.SH  # 灿勤科技
688205.SH  # 德科立
688282.SH  # 理工导航
688292.SH  # 浩瀚深度
688313.SH  # 仕佳光子
688387.SH  # 信科移动-U
688418.SH  # 震有科技
688522.SH  # 纳睿雷达
688552.SH  # 航天南湖
688592.SH  # 司南导航
688618.SH  # 三旺通信
688668.SH  # 鼎通科技
688788.SH  # 科思科技
