# 文教休闲
# 格式: 股票代码.交易所  # 名称

000526.SZ  # 学大教育
001222.SZ  # 源飞宠物
001300.SZ  # 三柏硕
001368.SZ  # 通达创智
002093.SZ  # 国脉科技
002103.SZ  # 广博股份
002301.SZ  # 齐心集团
002348.SZ  # 高乐股份
002575.SZ  # 群兴玩具
002607.SZ  # 中公教育
002659.SZ  # 凯文教育
002678.SZ  # 珠江钢琴
002858.SZ  # 力盛体育
002862.SZ  # 实丰文化
002899.SZ  # 英派斯
003032.SZ  # *ST传智
300081.SZ  # 恒信东方
300192.SZ  # 科德教育
300329.SZ  # 海伦钢琴
300338.SZ  # ST开元
300359.SZ  # 全通教育
300492.SZ  # 华图山鼎
300651.SZ  # 金陵体育
300662.SZ  # 科锐国际
300688.SZ  # 创业黑马
300703.SZ  # 创源股份
300795.SZ  # 米奥会展
300860.SZ  # 锋尚文化
300994.SZ  # 久祺股份
301011.SZ  # 华立科技
301101.SZ  # 明月镜片
301169.SZ  # 零点有数
301287.SZ  # 康力源
301313.SZ  # 凡拓数创
301335.SZ  # 天元宠物
600158.SH  # 中体产业
600455.SH  # 博通股份
600636.SH  # *ST国化
600661.SH  # 昂立教育
600662.SH  # 外服控股
600679.SH  # 上海凤凰
600730.SH  # 中国高科
600818.SH  # 中路股份
600826.SH  # 兰生股份
600861.SH  # 北京人力
603307.SH  # 扬州金泉
603466.SH  # 风语筑
603899.SH  # 晨光股份
605080.SH  # 浙江自然
605098.SH  # 行动教育
605099.SH  # 共创草坪
605299.SH  # 舒华体育
