# 小金属
# 格式: 股票代码.交易所  # 名称

000629.SZ  # 钒钛股份
000633.SZ  # 合金投资
000657.SZ  # 中钨高新
000762.SZ  # 西藏矿业
000831.SZ  # 中国稀土
000960.SZ  # 锡业股份
000962.SZ  # 东方钽业
000969.SZ  # 安泰科技
002149.SZ  # 西部材料
002167.SZ  # 东方锆业
002176.SZ  # 江特电机
002182.SZ  # 宝武镁业
002192.SZ  # 融捷股份
002240.SZ  # 盛新锂能
002340.SZ  # 格林美
002378.SZ  # 章源钨业
002428.SZ  # 云南锗业
002460.SZ  # 赣锋锂业
002466.SZ  # 天齐锂业
002497.SZ  # 雅化集团
002667.SZ  # 威领股份
002716.SZ  # 湖南白银
002738.SZ  # 中矿资源
002756.SZ  # 永兴材料
002842.SZ  # 翔鹭钨业
002978.SZ  # 安宁股份
300328.SZ  # 宜安科技
300618.SZ  # 寒锐钴业
300855.SZ  # 图南股份
300930.SZ  # 屹通新材
300963.SZ  # 中洲特材
301026.SZ  # 浩通科技
301152.SZ  # 天力锂能
301219.SZ  # 腾远钴业
301522.SZ  # 上大股份
600111.SH  # 北方稀土
600255.SH  # 鑫科材料
600259.SH  # 广晟有色
600281.SH  # 华阳新材
600301.SH  # 华锡有色
600392.SH  # 盛和资源
600456.SH  # 宝钛股份
600459.SH  # 贵研铂业
600549.SH  # 厦门钨业
600711.SH  # 盛屯矿业
601137.SH  # 博威合金
601958.SH  # 金钼股份
603045.SH  # 福达合金
603399.SH  # 永杉锂业
603663.SH  # 三祥新材
603799.SH  # 华友钴业
603978.SH  # 深圳新星
603993.SH  # 洛阳钼业
605376.SH  # 博迁新材
688122.SH  # 西部超导
688750.SH  # 金天钛业
688786.SH  # 悦安新材
