# 新型电力
# 格式: 股票代码.交易所  # 名称

000155.SZ  # 川能动力
000507.SZ  # 珠海港
000537.SZ  # 中绿电
000591.SZ  # 太阳能
000595.SZ  # *ST宝实
000862.SZ  # 银星能源
001258.SZ  # 立新能源
001289.SZ  # 龙源电力
002015.SZ  # 协鑫能科
002053.SZ  # 云南能投
002218.SZ  # 拓日新能
002256.SZ  # 兆新股份
002479.SZ  # 富春环保
002513.SZ  # 蓝丰生化
003035.SZ  # 南网能源
003816.SZ  # 中国广核
300040.SZ  # 九洲集团
600032.SH  # 浙江新能
600163.SH  # 中闽能源
600483.SH  # 福能股份
600821.SH  # 金开新能
600905.SH  # 三峡能源
600930.SH  # 华电新能
601016.SH  # 节能风电
601222.SH  # 林洋能源
601619.SH  # 嘉泽新能
601778.SH  # 晶科科技
601985.SH  # 中国核电
603693.SH  # 江苏新能
