# 医疗保健
# 格式: 股票代码.交易所  # 名称

000504.SZ  # *ST生物
000516.SZ  # 国际医学
000615.SZ  # *ST美谷
000710.SZ  # 贝瑞基因
002022.SZ  # 科华生物
002030.SZ  # 达安基因
002044.SZ  # 美年健康
002172.SZ  # 澳洋健康
002173.SZ  # 创新医疗
002219.SZ  # 新里程
002223.SZ  # 鱼跃医疗
002382.SZ  # 蓝帆医疗
002432.SZ  # 九安医疗
002524.SZ  # 光正眼科
002551.SZ  # 尚荣医疗
002622.SZ  # 皓宸医疗
002626.SZ  # 金达威
002901.SZ  # 大博医疗
002932.SZ  # 明德生物
002950.SZ  # 奥美医疗
300003.SZ  # 乐普医疗
300015.SZ  # 爱尔眼科
300030.SZ  # 阳普医疗
300049.SZ  # 福瑞股份
300143.SZ  # 盈康生命
300171.SZ  # 东富龙
300206.SZ  # 理邦仪器
300238.SZ  # 冠昊生物
300244.SZ  # 迪安诊断
300246.SZ  # 宝莱特
300247.SZ  # 融捷健康
300289.SZ  # 利德曼
300298.SZ  # 三诺生物
300314.SZ  # 戴维医疗
300318.SZ  # 博晖创新
300326.SZ  # ST凯利
300347.SZ  # 泰格医药
300358.SZ  # 楚天科技
300396.SZ  # 迪瑞医疗
300404.SZ  # 博济医药
300406.SZ  # 九强生物
300412.SZ  # 迦南科技
300439.SZ  # 美康生物
300453.SZ  # 三鑫医疗
300463.SZ  # 迈克生物
300482.SZ  # 万孚生物
300529.SZ  # 健帆生物
300562.SZ  # 乐心医疗
300595.SZ  # 欧普康视
300633.SZ  # 开立医疗
300639.SZ  # 凯普生物
300642.SZ  # 透景生命
300653.SZ  # 正海生物
300676.SZ  # 华大基因
300677.SZ  # 英科医疗
300685.SZ  # 艾德生物
300753.SZ  # 爱朋医疗
300760.SZ  # 迈瑞医疗
300791.SZ  # 仙乐健康
300813.SZ  # 泰林生物
300832.SZ  # 新产业
300869.SZ  # 康泰医学
300888.SZ  # 稳健医疗
300896.SZ  # 爱美客
300942.SZ  # 易瑞生物
300962.SZ  # 中金辐照
300981.SZ  # 中红医疗
301033.SZ  # 迈普医学
301060.SZ  # 兰卫医学
301087.SZ  # 可孚医疗
301093.SZ  # 华兰股份
301096.SZ  # 百诚医药
301097.SZ  # 天益医疗
301103.SZ  # 何氏眼科
301122.SZ  # 采纳股份
301234.SZ  # 五洲医疗
301235.SZ  # 华康洁净
301239.SZ  # 普瑞眼科
301257.SZ  # 普蕊斯
301267.SZ  # 华厦眼科
301290.SZ  # 东星医疗
301293.SZ  # 三博脑科
301333.SZ  # 诺思格
301363.SZ  # 美好医疗
301367.SZ  # 瑞迈特
301515.SZ  # 港通医疗
301580.SZ  # 爱迪特
301602.SZ  # 超研股份
600055.SH  # 万东医疗
600327.SH  # 大东方
600381.SH  # *ST春天
600529.SH  # 山东药玻
600530.SH  # 交大昂立
600568.SH  # ST中珠
600587.SH  # 新华医疗
600645.SH  # 中源协和
600763.SH  # 通策医疗
600807.SH  # 济高发展
603014.SH  # 威高血净
603102.SH  # 百合股份
603127.SH  # 昭衍新药
603205.SH  # 健尔康
603222.SH  # 济民健康
603301.SH  # 振德医疗
603309.SH  # 维力医疗
603387.SH  # 基蛋生物
603456.SH  # 九洲药业
603658.SH  # 安图生物
603880.SH  # 南卫股份
603882.SH  # 金域医学
603976.SH  # 正川股份
603987.SH  # 康德莱
605369.SH  # 拱东医疗
688013.SH  # 天臣医疗
688016.SH  # 心脉医疗
688026.SH  # 洁特生物
688029.SH  # 南微医学
688050.SH  # 爱博医疗
688067.SH  # 爱威科技
688068.SH  # 热景生物
688075.SH  # 安旭生物
688085.SH  # 三友医疗
688108.SH  # 赛诺医疗
688114.SH  # 华大智造
688139.SH  # 海尔生物
688151.SH  # 华强科技
688161.SH  # 威高骨科
688193.SH  # 仁度生物
688198.SH  # 佰仁医疗
688202.SH  # 美迪西
688212.SH  # 澳华内镜
688217.SH  # 睿昂基因
688236.SH  # 春立医疗
688238.SH  # 和元生物
688253.SH  # 英诺特
688265.SH  # 南模生物
688271.SH  # 联影医疗
688273.SH  # 麦澜德
688277.SH  # 天智航-U
688289.SH  # 圣湘生物
688298.SH  # 东方生物
688301.SH  # 奕瑞科技
688310.SH  # 迈得医疗
688314.SH  # 康拓医疗
688315.SH  # 诺禾致源
688317.SH  # 之江生物
688338.SH  # 赛科希德
688351.SH  # 微电生理
688358.SH  # 祥生医疗
688363.SH  # 华熙生物
688366.SH  # 昊海生科
688389.SH  # 普门科技
688393.SH  # 安必平
688399.SH  # 硕世生物
688410.SH  # 山外山
688468.SH  # 科美诊断
688575.SH  # 亚辉龙
688576.SH  # 西山科技
688580.SH  # 伟思医疗
688581.SH  # 安杰思
688606.SH  # 奥泰生物
688607.SH  # 康众医疗
688613.SH  # 奥精医疗
688617.SH  # 惠泰医疗
688621.SH  # 阳光诺和
688626.SH  # 翔宇医疗
688656.SH  # 浩欧博
688677.SH  # 海泰新光
688767.SH  # 博拓生物
