# 医药商业
# 格式: 股票代码.交易所  # 名称

000028.SZ  # 国药一致
000078.SZ  # 海王生物
000411.SZ  # 英特集团
000705.SZ  # 浙江震元
000950.SZ  # 重药控股
002390.SZ  # 信邦制药
002462.SZ  # 嘉事堂
002589.SZ  # 瑞康医药
002727.SZ  # 一心堂
002788.SZ  # 鹭燕医药
002872.SZ  # ST天圣
300937.SZ  # 药易购
301015.SZ  # 百洋医药
301017.SZ  # 漱玉平民
301126.SZ  # 达嘉维康
301166.SZ  # 优宁维
301263.SZ  # 泰恩康
301370.SZ  # 国科恒泰
301408.SZ  # 华人健康
301584.SZ  # 建发致新
600056.SH  # 中国医药
600272.SH  # 开开实业
600511.SH  # 国药股份
600538.SH  # 国发股份
600713.SH  # 南京医药
600829.SH  # 人民同泰
600833.SH  # 第一医药
600998.SH  # 九州通
601607.SH  # 上海医药
603108.SH  # 润达医疗
603122.SH  # 合富中国
603233.SH  # 大参林
603368.SH  # 柳药集团
603716.SH  # 塞力医疗
603883.SH  # 老百姓
603939.SH  # 益丰药房
605266.SH  # 健之佳
