# 元器件
# 格式: 股票代码.交易所  # 名称

000020.SZ  # 深华发A
000021.SZ  # 深科技
000045.SZ  # 深纺织A
000050.SZ  # 深天马A
000062.SZ  # 深圳华强
000100.SZ  # TCL科技
000509.SZ  # 华塑控股
000536.SZ  # 华映科技
000636.SZ  # 风华高科
000670.SZ  # 盈方微
000725.SZ  # 京东方A
000727.SZ  # 冠捷科技
000733.SZ  # 振华科技
000823.SZ  # 超声电子
001287.SZ  # 中电港
001298.SZ  # 好上好
001308.SZ  # 康冠科技
001314.SZ  # 亿道信息
001373.SZ  # 翔腾新材
001389.SZ  # 广合科技
002025.SZ  # 航天电器
002036.SZ  # 联创电子
002045.SZ  # 国光电器
002055.SZ  # 得润电子
002106.SZ  # 莱宝高科
002134.SZ  # 天津普林
002137.SZ  # 实益达
002138.SZ  # 顺络电子
002139.SZ  # 拓邦股份
002179.SZ  # 中航光电
002189.SZ  # 中光学
002199.SZ  # *ST东晶
002217.SZ  # 合力泰
002222.SZ  # 福晶科技
002241.SZ  # 歌尔股份
002273.SZ  # 水晶光电
002289.SZ  # *ST宇顺
002384.SZ  # 东山精密
002387.SZ  # 维信诺
002388.SZ  # ST新亚
002402.SZ  # 和而泰
002426.SZ  # 胜利精密
002436.SZ  # 兴森科技
002456.SZ  # 欧菲光
002463.SZ  # 沪电股份
002475.SZ  # 立讯精密
002484.SZ  # 江海股份
002552.SZ  # 宝鼎科技
002579.SZ  # 中京电子
002587.SZ  # 奥拓电子
002600.SZ  # 领益智造
002635.SZ  # 安洁科技
002636.SZ  # 金安国纪
002655.SZ  # 共达电声
002681.SZ  # 奋达科技
002724.SZ  # 海洋王
002729.SZ  # 好利科技
002745.SZ  # 木林森
002765.SZ  # 蓝黛科技
002782.SZ  # 可立克
002808.SZ  # *ST恒久
002815.SZ  # 崇达技术
002841.SZ  # 视源股份
002845.SZ  # 同兴达
002855.SZ  # 捷荣技术
002859.SZ  # 洁美科技
002861.SZ  # 瀛通通讯
002876.SZ  # 三利谱
002881.SZ  # 美格智能
002885.SZ  # 京泉华
002888.SZ  # 惠威科技
002897.SZ  # 意华股份
002913.SZ  # 奥士康
002916.SZ  # 深南电路
002925.SZ  # 盈趣科技
002937.SZ  # 兴瑞科技
002938.SZ  # 鹏鼎控股
002947.SZ  # 恒铭达
002952.SZ  # 亚世光电
002962.SZ  # 五方光电
002981.SZ  # 朝阳科技
002983.SZ  # 芯瑞达
002992.SZ  # 宝明科技
002993.SZ  # 奥海科技
003015.SZ  # 日久光电
003019.SZ  # 宸展光电
003021.SZ  # 兆威机电
003028.SZ  # 振邦智能
003031.SZ  # 中瓷电子
300032.SZ  # 金龙机电
300088.SZ  # 长信科技
300115.SZ  # 长盈精密
300120.SZ  # 经纬辉开
300128.SZ  # 锦富技术
300131.SZ  # 英唐智控
300136.SZ  # 信维通信
300162.SZ  # 雷曼光电
300184.SZ  # 力源信息
300219.SZ  # 鸿利智汇
300232.SZ  # 洲明科技
300256.SZ  # 星星科技
300269.SZ  # 联建光电
300279.SZ  # 和晶科技
300296.SZ  # 利亚德
300319.SZ  # 麦捷科技
300322.SZ  # 硕贝德
300331.SZ  # 苏大维格
300389.SZ  # 艾比森
300408.SZ  # 三环集团
300433.SZ  # 蓝思科技
300460.SZ  # 惠伦晶体
300474.SZ  # 景嘉微
300475.SZ  # 香农芯创
300476.SZ  # 胜宏科技
300493.SZ  # 润欣科技
300543.SZ  # 朗科智能
300566.SZ  # 激智科技
300582.SZ  # 英飞特
300602.SZ  # 飞荣达
300629.SZ  # 新劲刚
300650.SZ  # 太龙股份
300657.SZ  # 弘信电子
300679.SZ  # 电连技术
300684.SZ  # 中石科技
300686.SZ  # 智动力
300691.SZ  # 联合光电
300701.SZ  # 森霸传感
300706.SZ  # 阿石创
300709.SZ  # 精研科技
300726.SZ  # 宏达电子
300735.SZ  # 光弘科技
300739.SZ  # 明阳电路
300752.SZ  # 隆利科技
300787.SZ  # 海能实业
300790.SZ  # 宇瞳光学
300814.SZ  # 中富电路
300822.SZ  # 贝仕达克
300843.SZ  # 胜蓝股份
300852.SZ  # 四会富仕
300866.SZ  # 安克创新
300868.SZ  # 杰美特
300903.SZ  # 科翔股份
300909.SZ  # 汇创达
300916.SZ  # 朗特智能
300936.SZ  # 中英科技
300939.SZ  # 秋田微
300940.SZ  # 南极光
300951.SZ  # 博硕科技
300956.SZ  # 英力股份
300964.SZ  # 本川智能
300968.SZ  # 格林精密
300975.SZ  # 商络电子
300976.SZ  # 达瑞电子
300991.SZ  # 创益通
301041.SZ  # 金百泽
301045.SZ  # 天禄科技
301051.SZ  # 信濠光电
301067.SZ  # 显盈科技
301086.SZ  # 鸿富瀚
301099.SZ  # 雅创电子
301106.SZ  # 骏成科技
301123.SZ  # 奕东电子
301132.SZ  # 满坤科技
301135.SZ  # 瑞德智能
301176.SZ  # 逸豪新材
301180.SZ  # 万祥科技
301182.SZ  # 凯旺科技
301183.SZ  # 东田微
301217.SZ  # 铜冠铜箔
301251.SZ  # 威尔高
301275.SZ  # 汉朔科技
301280.SZ  # 珠城科技
301282.SZ  # 金禄电子
301285.SZ  # 鸿日达
301314.SZ  # 科瑞思
301319.SZ  # 唯特偶
301321.SZ  # 翰博高新
301326.SZ  # 捷邦科技
301328.SZ  # 维峰电子
301329.SZ  # 信音电子
301359.SZ  # 东南电子
301366.SZ  # 一博科技
301379.SZ  # 天山电子
301383.SZ  # 天键股份
301387.SZ  # 光大同创
301389.SZ  # 隆扬电子
301421.SZ  # 波长光电
301458.SZ  # 钧崴电子
301479.SZ  # 弘景光电
301486.SZ  # 致尚科技
301489.SZ  # 思泉新材
301517.SZ  # 陕西华达
301563.SZ  # 云汉芯城
301566.SZ  # 达利凯普
301567.SZ  # 贝隆精密
301571.SZ  # 国科天成
301577.SZ  # 美信科技
301606.SZ  # 绿联科技
301626.SZ  # 苏州天脉
301628.SZ  # 强达电路
301631.SZ  # 壹连科技
600071.SH  # 凤凰光学
600130.SH  # *ST波导
600183.SH  # 生益科技
600203.SH  # 福日电子
600237.SH  # 铜峰电子
600288.SH  # 大恒科技
600353.SH  # 旭光电子
600363.SH  # 联创光电
600552.SH  # 凯盛科技
600563.SH  # 法拉电子
600601.SH  # 方正科技
600666.SH  # 奥瑞德
600707.SH  # 彩虹股份
601231.SH  # 环旭电子
603052.SH  # 可川科技
603175.SH  # 超颖电子
603186.SH  # 华正新材
603228.SH  # 景旺电子
603267.SH  # 鸿远电子
603296.SH  # 华勤技术
603297.SH  # 永新光学
603327.SH  # 福蓉科技
603328.SH  # 依顿电子
603380.SH  # 易德龙
603386.SH  # 骏亚科技
603595.SH  # ST东尼
603626.SH  # 科森科技
603629.SH  # 利通电子
603678.SH  # 火炬电子
603703.SH  # 盛洋科技
603738.SH  # 泰晶科技
603773.SH  # 沃格光电
603890.SH  # 春秋电子
603920.SH  # 世运电路
603933.SH  # 睿能科技
603936.SH  # 博敏电子
603989.SH  # 艾华集团
605058.SH  # 澳弘电子
605118.SH  # 力鼎光电
605218.SH  # 伟时电子
605258.SH  # 协和电子
605277.SH  # 新亚电子
605588.SH  # 冠石科技
688007.SH  # 光峰科技
688010.SH  # 福光股份
688011.SH  # 新光光电
688020.SH  # 方邦股份
688053.SH  # ST思科瑞
688055.SH  # 龙腾光电
688079.SH  # 美迪凯
688103.SH  # 国力电子
688127.SH  # 蓝特光学
688150.SH  # 莱特光电
688167.SH  # 炬光科技
688181.SH  # 八亿时空
688183.SH  # 生益电子
688195.SH  # 腾景科技
688210.SH  # 统联精密
688260.SH  # 昀冢科技
688272.SH  # 富吉瑞
688299.SH  # 长阳科技
688307.SH  # 中润光学
688311.SH  # 盟升电子
688322.SH  # 奥比中光-UW
688371.SH  # 菲沃泰
688375.SH  # 国博电子
688439.SH  # 振华风光
688496.SH  # 清越科技
688502.SH  # 茂莱光学
688511.SH  # *ST天微
688519.SH  # 南亚新材
688545.SH  # 兴福电子
688549.SH  # 中巨芯-U
688582.SH  # 芯动联科
688629.SH  # 华丰科技
688636.SH  # 智明达
688655.SH  # 迅捷兴
688661.SH  # 和林微纳
688662.SH  # 富信科技
688678.SH  # 福立旺
688683.SH  # 莱尔科技
688776.SH  # 国光电气
688800.SH  # 瑞可达
