# 运输设备
# 格式: 股票代码.交易所  # 名称

000008.SZ  # 神州高铁
000039.SZ  # 中集集团
000925.SZ  # 众合科技
001324.SZ  # 长青科技
002367.SZ  # 康力电梯
002480.SZ  # 新筑股份
002689.SZ  # 远大智能
002774.SZ  # 快意电梯
002972.SZ  # 科安达
300011.SZ  # 鼎汉技术
300351.SZ  # 永贵电器
300594.SZ  # 朗进科技
300669.SZ  # 沪宁股份
300789.SZ  # 唐源电气
300851.SZ  # 交大思诺
300906.SZ  # 日月明
300923.SZ  # 研奥股份
300931.SZ  # 通用电梯
300960.SZ  # 通业科技
301016.SZ  # 雷尔伟
301048.SZ  # 金鹰重工
301056.SZ  # 森赫股份
600243.SH  # *ST海华
600495.SH  # 晋西车轴
600528.SH  # 中铁工业
600835.SH  # 上海机电
600894.SH  # 广日股份
600967.SH  # 内蒙一机
601766.SH  # 中国中车
603082.SH  # 北自科技
603111.SH  # 康尼机电
603321.SH  # 梅轮电梯
603356.SH  # 华菱精工
603488.SH  # 展鹏科技
603500.SH  # 祥和实业
603680.SH  # 今创集团
605001.SH  # 威奥股份
605286.SH  # 同力日升
605298.SH  # 必得科技
688009.SH  # 中国通号
688015.SH  # 交控科技
688187.SH  # 时代电气
688285.SH  # 高铁电气
688367.SH  # 工大高科
688459.SH  # 哈铁科技
688485.SH  # 九州一轨
688569.SH  # 铁科轨道
