# 中成药
# 格式: 股票代码.交易所  # 名称

000423.SZ  # 东阿阿胶
000538.SZ  # 云南白药
000590.SZ  # 启迪药业
000623.SZ  # 吉林敖东
000650.SZ  # 仁和药业
000790.SZ  # 华神科技
000989.SZ  # 九芝堂
000999.SZ  # 华润三九
002082.SZ  # 万邦德
002107.SZ  # 沃华医药
002166.SZ  # 莱茵生物
002198.SZ  # 嘉应制药
002275.SZ  # 桂林三金
002287.SZ  # 奇正藏药
002317.SZ  # 众生药业
002349.SZ  # 精华制药
002412.SZ  # 汉森制药
002424.SZ  # 贵州百灵
002566.SZ  # 益盛药业
002603.SZ  # 以岭药业
002644.SZ  # 佛慈制药
002728.SZ  # 特一药业
002737.SZ  # 葵花药业
002864.SZ  # 盘龙药业
002873.SZ  # 新天药业
002907.SZ  # 华森制药
300026.SZ  # 红日药业
300039.SZ  # 上海凯宝
300147.SZ  # ST香雪
300181.SZ  # 佐力药业
300391.SZ  # *ST长药
300519.SZ  # 新光药业
300534.SZ  # 陇神戎发
300878.SZ  # 维康药业
301111.SZ  # 粤万年青
301331.SZ  # 恩威医药
600080.SH  # 金花股份
600085.SH  # 同仁堂
600129.SH  # 太极集团
600222.SH  # 太龙药业
600252.SH  # 中恒集团
600285.SH  # 羚锐制药
600329.SH  # 达仁堂
600332.SH  # 白云山
600351.SH  # 亚宝药业
600422.SH  # 昆药集团
600436.SH  # 片仔癀
600479.SH  # 千金药业
600518.SH  # 康美药业
600535.SH  # 天士力
600557.SH  # 康缘药业
600566.SH  # 济川药业
600572.SH  # 康恩贝
600594.SH  # 益佰制药
600613.SH  # 神奇制药
600671.SH  # 天目药业
600750.SH  # 江中药业
600771.SH  # 广誉远
600976.SH  # 健民集团
600993.SH  # 马应龙
603139.SH  # 康惠股份
603439.SH  # 贵州三力
603567.SH  # 珍宝岛
603858.SH  # 步长制药
603896.SH  # 寿仙谷
603998.SH  # 方盛制药
605199.SH  # ST葫芦娃
