# 装修装饰
# 格式: 股票代码.交易所  # 名称

002047.SZ  # *ST宝鹰
002081.SZ  # 金螳螂
002163.SZ  # 海南发展
002375.SZ  # 亚厦股份
002482.SZ  # 广田集团
002620.SZ  # ST瑞和
002713.SZ  # *ST东易
002789.SZ  # *ST建艺
002811.SZ  # 郑中设计
002822.SZ  # *ST中装
002830.SZ  # 名雕股份
002856.SZ  # 美芝股份
002963.SZ  # 豪尔赛
002989.SZ  # 中天精装
300621.SZ  # 维业股份
300668.SZ  # 杰恩设计
600193.SH  # *ST创兴
600234.SH  # 科新发展
601886.SH  # 江河集团
603030.SH  # 全筑股份
603098.SH  # 森特股份
603137.SH  # 恒尚节能
603828.SH  # ST柯利达
603929.SH  # 亚翔集成
605178.SH  # 时空科技
605287.SH  # 德才股份
