# 专用机械
# 格式: 股票代码.交易所  # 名称

000519.SZ  # 中兵红箭
000551.SZ  # 创元科技
000856.SZ  # 冀东装备
000880.SZ  # 潍柴重机
000988.SZ  # 华工科技
001223.SZ  # 欧克科技
001225.SZ  # 和泰机电
001277.SZ  # 速达股份
001288.SZ  # 运机集团
001332.SZ  # 锡装股份
001336.SZ  # 楚环科技
001395.SZ  # 亚联机械
001400.SZ  # 江顺科技
002006.SZ  # 精工科技
002008.SZ  # 大族激光
002073.SZ  # 软控股份
002204.SZ  # 大连重工
002255.SZ  # 海陆重工
002265.SZ  # 建设工业
002366.SZ  # 融发核电
002483.SZ  # 润邦股份
002523.SZ  # 天桥起重
002529.SZ  # *ST海源
002530.SZ  # 金财互联
002534.SZ  # 西子洁能
002595.SZ  # 豪迈科技
002613.SZ  # 北玻股份
002630.SZ  # ST华西
002639.SZ  # 雪人集团
002645.SZ  # 华宏科技
002686.SZ  # 亿利达
002690.SZ  # 美亚光电
002691.SZ  # 冀凯股份
002730.SZ  # 电光科技
002757.SZ  # 南兴股份
002786.SZ  # 银宝山新
002816.SZ  # *ST和科
002833.SZ  # 弘亚数控
002837.SZ  # 英维克
002957.SZ  # 科瑞技术
002960.SZ  # 青鸟消防
002975.SZ  # 博杰股份
002979.SZ  # 雷赛智能
002997.SZ  # 瑞鹄模具
300024.SZ  # 机器人
300084.SZ  # 海默科技
300092.SZ  # 科新机电
300095.SZ  # 华伍股份
300097.SZ  # ST智云
300103.SZ  # 达刚控股
300151.SZ  # 昌红科技
300157.SZ  # 新锦动力
300193.SZ  # 佳士科技
300210.SZ  # 森远股份
300220.SZ  # 金运激光
300227.SZ  # 光韵达
300263.SZ  # 隆华科技
300276.SZ  # 三丰智能
300278.SZ  # 华昌达
300281.SZ  # 金明精机
300293.SZ  # 蓝英装备
300316.SZ  # 晶盛机电
300334.SZ  # 津膜科技
300382.SZ  # 斯莱克
300400.SZ  # 劲拓股份
300402.SZ  # 宝色股份
300410.SZ  # 正业科技
300411.SZ  # 金盾股份
300415.SZ  # 伊之密
300450.SZ  # 先导智能
300457.SZ  # 赢合科技
300461.SZ  # 田中精机
300471.SZ  # 厚普股份
300472.SZ  # *ST新元
300480.SZ  # 光力科技
300486.SZ  # 东杰智能
300489.SZ  # 光智科技
300490.SZ  # 华自科技
300499.SZ  # 高澜股份
300509.SZ  # 新美星
300512.SZ  # 中亚股份
300521.SZ  # 爱司凯
300527.SZ  # ST应急
300540.SZ  # 蜀道装备
300545.SZ  # 联得装备
300549.SZ  # 优德精密
300607.SZ  # 拓斯达
300619.SZ  # 金银河
300724.SZ  # 捷佳伟创
300747.SZ  # 锐科激光
300751.SZ  # 迈为股份
300756.SZ  # 金马游乐
300757.SZ  # 罗博特科
300776.SZ  # 帝尔激光
300802.SZ  # 矩子科技
300812.SZ  # 易天股份
300818.SZ  # 耐普矿机
300823.SZ  # 建科智能
300833.SZ  # 浩洋股份
300836.SZ  # 佰奥智能
300837.SZ  # 浙矿股份
300853.SZ  # 申昊科技
300865.SZ  # 大宏立
300875.SZ  # 捷强装备
300902.SZ  # 国安达
300922.SZ  # 天秦装备
300950.SZ  # 德固特
300990.SZ  # 同飞股份
300998.SZ  # 宁波方正
301013.SZ  # 利和兴
301018.SZ  # 申菱环境
301021.SZ  # 英诺激光
301022.SZ  # 海泰科
301028.SZ  # 东亚机械
301029.SZ  # 怡合达
301053.SZ  # 远信工业
301083.SZ  # 百胜智能
301105.SZ  # 鸿铭股份
301112.SZ  # 信邦智能
301128.SZ  # 强瑞技术
301138.SZ  # 华研精机
301158.SZ  # 德石股份
301186.SZ  # 超达装备
301196.SZ  # 唯科科技
301199.SZ  # 迈赫股份
301200.SZ  # 大族数控
301260.SZ  # 格力博
301272.SZ  # 英华特
301312.SZ  # 智立方
301325.SZ  # 曼恩斯特
301338.SZ  # 凯格精机
301353.SZ  # 普莱得
301357.SZ  # 北方长龙
301360.SZ  # 荣旗科技
301392.SZ  # 汇成真空
301468.SZ  # 博盈特焊
301512.SZ  # 智信精密
301519.SZ  # 舜禹股份
301559.SZ  # 中集环科
301568.SZ  # 思泰克
301598.SZ  # 博科测试
301601.SZ  # 惠通科技
301633.SZ  # 港迪技术
301662.SZ  # 宏工科技
600184.SH  # 光电股份
600202.SH  # 哈空调
600215.SH  # 派斯林
600262.SH  # 北方股份
600320.SH  # 振华重工
600330.SH  # 天通股份
600355.SH  # *ST精伦
600421.SH  # *ST华嵘
600435.SH  # 北方导航
600444.SH  # 国机通用
600499.SH  # 科达制造
600501.SH  # 航天晨光
600582.SH  # 天地科技
600783.SH  # 鲁信创投
600817.SH  # 宇通重工
600855.SH  # 航天长峰
600860.SH  # 京城股份
600980.SH  # 北矿科技
601606.SH  # 长城军工
601608.SH  # 中信重工
601717.SH  # 中创智领
603011.SH  # 合锻智能
603012.SH  # 创力集团
603032.SH  # 德新科技
603036.SH  # 如通股份
603076.SH  # 乐惠国际
603081.SH  # 大丰实业
603090.SH  # 宏盛股份
603131.SH  # 上海沪工
603135.SH  # 中重科技
603159.SH  # 上海亚虹
603169.SH  # 兰石重装
603203.SH  # 快克智能
603273.SH  # 天元智能
603277.SH  # 银都股份
603282.SH  # 亚光股份
603283.SH  # 赛腾股份
603289.SH  # 泰瑞机器
603331.SH  # 百达精工
603339.SH  # 四方科技
603391.SH  # 力聚热能
603396.SH  # 金辰股份
603611.SH  # 诺力股份
603638.SH  # 艾迪精密
603656.SH  # 泰禾智能
603666.SH  # 亿嘉和
603698.SH  # 航天工程
603800.SH  # 洪田股份
603855.SH  # 华荣股份
603895.SH  # 天永智能
603901.SH  # 永创智能
603912.SH  # 佳力图
603956.SH  # 威派格
603966.SH  # 法兰泰克
605186.SH  # 健麾信息
688001.SH  # 华兴源创
688003.SH  # 天准科技
688022.SH  # 瀚川智能
688025.SH  # 杰普特
688071.SH  # 华依科技
688084.SH  # 晶品特装
688090.SH  # 瑞松科技
688092.SH  # 爱科科技
688097.SH  # 博众精工
688113.SH  # 联测科技
688121.SH  # 卓然股份
688125.SH  # 安达智能
688128.SH  # 中国电研
688147.SH  # 微导纳米
688162.SH  # 巨一科技
688165.SH  # 埃夫特-U
688170.SH  # 德龙激光
688188.SH  # 柏楚电子
688211.SH  # 中科微至
688215.SH  # 瑞晟智能
688218.SH  # 江苏北人
688251.SH  # 井松智能
688290.SH  # 景业智能
688306.SH  # 均普智能
688312.SH  # 燕麦科技
688328.SH  # 深科达
688329.SH  # 艾隆科技
688376.SH  # 美埃科技
688377.SH  # 迪威尔
688378.SH  # 奥来德
688383.SH  # 新益昌
688392.SH  # 骄成超声
688400.SH  # 凌云光
688420.SH  # 美腾科技
688433.SH  # 华曙高科
688448.SH  # 磁谷科技
688499.SH  # 利元亨
688516.SH  # 奥特维
688518.SH  # 联赢激光
688529.SH  # 豪森智能
688531.SH  # 日联科技
688543.SH  # 国科军工
688551.SH  # 科威尔
688556.SH  # 高测股份
688557.SH  # 兰剑智能
688559.SH  # 海目星
688570.SH  # 天玛智控
688573.SH  # 信宇人
688596.SH  # 正帆科技
688623.SH  # 双元科技
688627.SH  # 精智达
688630.SH  # 芯碁微装
688633.SH  # 星球石墨
688638.SH  # 誉辰智能
688646.SH  # ST逸飞
688700.SH  # 东威科技
688726.SH  # 拉普拉斯
688755.SH  # 汉邦科技
688777.SH  # 中控技术
688789.SH  # 宏华数科
