# 示例股票池
# 格式: 股票代码.交易所  # 名称
# 以#开头的行为注释

# 海外
# AI 海外链
300502.SZ  # 新易盛
300308.SZ  # 中际旭创
300394.SZ  # 天孚通信
300476.SZ  # 胜宏科技
002463.SZ  # 沪电股份
603083.SH  # 剑桥科技
002851.SZ  # 麦格米特
002837.SZ  # 英维克
688668.SH  # 鼎通科技
300547.SZ  # 川环电路
688630.SH  # 芯碁微装
688313.SH  # 仕佳光子
002475.SZ  # 立讯精密
601138.SH  # 工业富联
688195.SH  # 腾景科技

# AI 国产链
000988.SZ  # 华工科技
688629.SH  # 华丰科技
301165.SZ  # 锐捷网络

# 半导体 IC
688256.SH  # 寒武纪
688041.SH  # 海光信息
603893.SH  # 瑞芯微
688521.SH  # 芯原股份
603501.SH  # 豪威集团
688213.SH  # 思特威
603986.SH  # 兆易创新
688008.SH  # 澜起科技
300458.SZ  # 全志科技
688220.SH  # 翱捷科技

# 半导体 设备
688012.SH  # 中微半导体
002371.SZ  # 北方华创
688072.SH  # 拓荆科技
300604.SZ  # 长川科技
688082.SH  # 盛美上海
603061.SH  # 金海通

# 半导体 代工
688981.SH  # 中芯国际
688347.SH  # 华虹公司

# 半导体 封测
002156.SZ  # 通富微电
600584.SH  # 长电科技

# 智驾
002920.SZ  # 德赛西威

# 医药医疗 CXO
# HK02269 药明生物 (港股，暂不支持)
300347.SZ  # 泰格医药
300759.SZ  # 康龙化成
603127.SH  # 昭衍新药
300363.SZ  # 博腾股份
002821.SZ  # 凯莱英

# 医药医疗 器械
688271.SH  # 联影医疗
300760.SZ  # 迈瑞医疗
688410.SH  # 山外山
688161.SH  # 威高骨科
002901.SZ  # 大博医疗
300003.SZ  # 乐普医疗

# 医药医疗 创新药
603087.SH  # 甘李药业
300558.SZ  # 贝达药业
688578.SH  # 艾丽斯
688235.SH  # 百济神州
600276.SH  # 恒瑞医药
688506.SH  # 百利天恒

# 消费
600809.SH  # 山西汾酒
600519.SH  # 贵州茅台
601888.SH  # 中国中免
300896.SZ  # 爱美客
603605.SH  # 珀莱雅
301498.SZ  # 乖宝宠物

# 有色
601899.SH  # 紫金矿业
603993.SH  # 洛阳钼业
603799.SH  # 华友钴业
000737.SZ  # 北方铜业
000807.SZ  # 云铝股份
600549.SH  # 厦门钨业
300618.SZ  # 寒锐钴业

# 消费电子
002241.SZ  # 歌尔股份
002475.SZ  # 立讯精密
300433.SZ  # 蓝思科技
002273.SZ  # 水晶光电
002456.SZ  # 欧菲光

# 风电
002487.SZ  # 大金重工
605305.SH  # 中际联合
603606.SH  # 东方电缆
601615.SH  # 明阳智能
002531.SZ  # 天顺风能
300850.SZ  # 新强联

# extra
000977.SZ  # 浪潮信息
301308.SZ   # 江波龙
300475.SZ  # 香农芯创
001309.SZ  # 德明利
